extuserid,classcode,category,pe_category,attempt_end_index,category_type,classType
std_F9eh-CE9L_1706510394279_1,F9eh-CE9L,L1,l1pe,3,L,normal
std_LTI_46jN-dg3C_1758522311301_1,46jN-dg3C,H5,h5pe,4,H,LTI
std_VCzA-7okC_1706507681925_41,VCzA-7okC,L7,l7pe,3,L,normal
std_xmya-q2gb_1706513432472_8,xmya-q2gb,L1,l1pe,3,L,normal
std_AT2h-Dnk8_1706517882101_84,AT2h-Dnk8,M5,m5pe,4,M,normal
std_Emy8-Prw4_1706503422033_90,Emy8-Prw4,H2,h2pe,4,H,normal
std_ri69-Yr8L_1706503281760_81,ri69-Yr8L,M5,m5pe,4,M,normal
std_yQ23-iuz3_1706503409336_91,yQ23-iuz3,H2,h2pe,4,H,normal
std_97Uo-q2C6_1706514171200_48,97Uo-q2C6,L7,l7pe,3,L,normal
std_NYg8-C4w7_1706507536488_33,NYg8-C4w7,L3,l3pe,4,L,normal
std_wKUC-Ue79_1732013469657_72,wKUC-Ue79,L9,l9pe,3,L,normal
std_9wMf-xJtK_1706502867508_61,9wMf-xJtK,L9,l9pe,3,L,normal
std_LTI_RA3N-Mrj7_1758286517369_7,RA3N-Mrj7,M3,m3pe,4,M,LTI
std_VCzA-7okC_1706507688852_41,VCzA-7okC,L7,l7pe,3,L,normal
std_fdDu-qdj7_1706514621435_73,fdDu-qdj7,M2,m2pe,4,M,normal
std_CPHM-38AM_1706499170295_90,CPHM-38AM,H2,h2pe,4,H,normal
std_yJ9F-QpQ7_1706511939210_82,yJ9F-QpQ7,M5,m5pe,4,M,normal
std_LTI_6237-3ib2_1758522502943_3,6237-3ib2,H5,h5pe,4,H,LTI
std_wLcx-c9vJ_1732012864158_41,wLcx-c9vJ,L3,l3pe,4,L,normal
std_rL8e-9Boi_1732014053209_100,rL8e-9Boi,M5,m5pe,4,M,normal
std_9oy8-FP43_1706511364262_57,9oy8-FP43,L8,l8pe,4,L,normal
std_6RNP-oD7L_1706498218321_40,6RNP-oD7L,L7,l7pe,3,L,normal
std_KGkH-WNRJ_1706507644993_38,KGkH-WNRJ,L7,l7pe,3,L,normal
std_LTI_ARaE-7k2J_1758286307283_3,ARaE-7k2J,L2,l2pe,4,L,LTI
std_LTI_tj24-JzmU_1758452068998_27,tj24-JzmU,M3,m3pe,4,M,LTI
std_Fkwj-N7e9_1706499448300_100,Fkwj-N7e9,H6,h6pe,4,H,normal
std_62s7-6tJ9_1732014025860_99,62s7-6tJ9,M5,m5pe,4,M,normal
std_ALFj-73m6_1706502932873_66,ALFj-73m6,L9,l9pe,3,L,normal
std_j7xD-uLjU_1706510422062_3,j7xD-uLjU,L1,l1pe,3,L,normal
std_wLcx-c9vJ_1732012885664_41,wLcx-c9vJ,L3,l3pe,4,L,normal
std_LTI_yYD2-R7Kn_1758522582200_7,yYD2-R7Kn,H7,h7pe,3,H,LTI
std_4zgk-nyU7_1706503627624_100,4zgk-nyU7,H6,h6pe,4,H,normal
std_LTI_c6Q3-o7NU_1758451318710_5,c6Q3-o7NU,L2,l2pe,4,L,LTI
std_j7xD-uLjU_1706510405880_3,j7xD-uLjU,L1,l1pe,3,L,normal
std_sR8s-vH2t_1706498262497_43,sR8s-vH2t,L7,l7pe,3,L,normal
std_NoMT-fe8H_1706498322250_47,NoMT-fe8H,L7,l7pe,3,L,normal
std_LTI_cd3j-McVo_1758451398172_8,cd3j-McVo,L2,l2pe,4,L,LTI
std_3987-nryG_1706516874701_32,3987-nryG,L3,l3pe,4,L,normal
std_hLpm-NcjK_1706502448406_39,hLpm-NcjK,L7,l7pe,3,L,normal
std_LTI_yJXV-bT3d_1758451538394_10,yJXV-bT3d,L2,l2pe,4,L,LTI
std_RL2o-A8i8_1706499223325_92,RL2o-A8i8,H3,h3pe,4,H,normal
std_LKih-68rt_1706514518198_67,LKih-68rt,L9,l9pe,3,L,normal
std_LTI_4QjU-6468_1758286353063_5,4QjU-6468,L2,l2pe,4,L,LTI
std_K8fm-37xm_1706507031086_4,K8fm-37xm,L1,l1pe,3,L,normal
std_d3B8-Kg2F_1706499128038_82,d3B8-Kg2F,M5,m5pe,4,M,normal
std_t26H-CJz3_1706508435509_83,t26H-CJz3,M5,m5pe,4,M,normal
std_yQ23-iuz3_1706503436855_91,yQ23-iuz3,H2,h2pe,4,H,normal
std_ztgb-Pw98_1706508152282_66,ztgb-Pw98,L9,l9pe,3,L,normal
std_6XvN-p2DY_1732013232924_57,6XvN-p2DY,L7,l7pe,3,L,normal
std_LTI_RA3N-Mrj7_1758286340613_7,RA3N-Mrj7,M3,m3pe,4,M,LTI
std_9cMC-xGsd_1706514783822_83,9cMC-xGsd,M5,m5pe,4,M,normal
std_LTI_Qd29-XVP9_1758286380576_2,Qd29-XVP9,L2,l2pe,4,L,LTI
std_CPHM-38AM_1706499174832_90,CPHM-38AM,H2,h2pe,4,H,normal
std_B9Nr-6LZA_1706507621720_37,B9Nr-6LZA,L7,l7pe,3,L,normal
std_LTI_Hxge-FW6a_1758451623755_16,Hxge-FW6a,L2,l2pe,4,L,LTI
std_3R8H-BG78_1732013607251_77,3R8H-BG78,L9,l9pe,3,L,normal
std_LTI_ezF6-Ykv3_1758286412465_9,ezF6-Ykv3,M3,m3pe,4,M,LTI
std_sLn6-h24m_1732021433185_75,sLn6-h24m,L9,l9pe,3,L,normal
std_4R29-bync_1706517735326_80,4R29-bync,M4,m4pe,4,M,normal
std_9Azn-vYy6_1706513839745_29,9Azn-vYy6,L3,l3pe,4,L,normal
std_ztgb-Pw98_1706508161696_66,ztgb-Pw98,L9,l9pe,3,L,normal
std_6bUs-wYGU_1732013500252_73,6bUs-wYGU,L9,l9pe,3,L,normal
std_3BU3-jC28_1706503311223_87,3BU3-jC28,H1,h1pe,4,H,normal
std_d9nx-49GB_1706499032924_81,d9nx-49GB,M5,m5pe,4,M,normal
std_PJvU-onK7_1706497805937_15,PJvU-onK7,L1,l1pe,3,L,normal
std_8ayJ-89he_1706502404188_36,8ayJ-89he,L7,l7pe,3,L,normal
std_oZ4C-EMr7_1732021343428_72,oZ4C-EMr7,L9,l9pe,3,L,normal
std_2CZk-MnDk_1706498678535_66,2CZk-MnDk,L9,l9pe,3,L,normal
std_Quk3-cWn4_1732020736723_43,Quk3-cWn4,L7,l7pe,3,L,normal
std_LTI_ob4E-2N49_1758286458024_8,ob4E-2N49,M3,m3pe,4,M,LTI
std_avzL-p46h_1706508100953_63,avzL-p46h,L9,l9pe,3,L,normal
std_qw8n-FEiy_1706502433617_38,qw8n-FEiy,L7,l7pe,3,L,normal
std_sx6k-2taL_1732020802234_41,sx6k-2taL,L3,l3pe,4,L,normal
std_LTI_eB4a-gE92_1758451575118_17,eB4a-gE92,L2,l2pe,4,L,LTI
std_qdeT-4tso_1706514493861_65,qdeT-4tso,L9,l9pe,3,L,normal
std_LTI_Qd29-XVP9_1758286236682_2,Qd29-XVP9,L2,l2pe,4,L,LTI
std_ajPR-WKH2_1706499450405_97,ajPR-WKH2,H4,h4pe,4,H,normal
std_Emy8-Prw4_1706503417515_90,Emy8-Prw4,H2,h2pe,4,H,normal
std_LTI_c6Q3-o7NU_1758451412509_5,c6Q3-o7NU,L2,l2pe,4,L,LTI
std_LTI_yJXV-bT3d_1758451430359_10,yJXV-bT3d,L2,l2pe,4,L,LTI
std_Emy8-Prw4_1706503356807_90,Emy8-Prw4,H2,h2pe,4,H,normal
std_Vyhm-Nt9x_1706499242548_89,Vyhm-Nt9x,H1,h1pe,4,H,normal
std_Q7PA-7mnJ_1706514023588_40,Q7PA-7mnJ,L7,l7pe,3,L,normal
std_LTI_xRMY-DRq2_1758451366444_3,xRMY-DRq2,L2,l2pe,4,L,LTI
std_j2a6-2T2Q_1706501809913_4,j2a6-2T2Q,L1,l1pe,3,L,normal
std_oU7Y-m468_1706502478185_41,oU7Y-m468,L7,l7pe,3,L,normal
std_rL8e-9Boi_1732014044526_100,rL8e-9Boi,M5,m5pe,4,M,normal
std_X8T9-yP2k_1706512118223_84,X8T9-yP2k,M5,m5pe,4,M,normal
std_9kTK-ujF2_1706497625539_9,9kTK-ujF2,L1,l1pe,3,L,normal
std_RL2o-A8i8_1706499260881_92,RL2o-A8i8,H3,h3pe,4,H,normal
std_hyxg-U6fk_1706501785717_3,hyxg-U6fk,L1,l1pe,3,L,normal
std_prv8-7b9R_1706501894295_5,prv8-7b9R,L1,l1pe,3,L,normal
std_i32p-v2Pg_1706498596957_61,i32p-v2Pg,L9,l9pe,3,L,normal
std_CAyC-w739_1706498165732_38,CAyC-w739,L7,l7pe,3,L,normal
std_LTI_6Zc7-q8fh_1758452016374_26,6Zc7-q8fh,M3,m3pe,4,M,LTI
std_i6hT-K8VF_1706507015730_3,i6hT-K8VF,L1,l1pe,3,L,normal
std_9wMf-xJtK_1706502823222_61,9wMf-xJtK,L9,l9pe,3,L,normal
std_haKy-qpRK_1706503518446_97,haKy-qpRK,H4,h4pe,4,H,normal
std_c9Xb-38TX_1706502994286_67,c9Xb-38TX,L9,l9pe,3,L,normal
std_yQ23-iuz3_1706503378624_91,yQ23-iuz3,H2,h2pe,4,H,normal
std_2CZk-MnDk_1706498711021_66,2CZk-MnDk,L9,l9pe,3,L,normal
std_p8DF-mKhK_1706501912402_8,p8DF-mKhK,L1,l1pe,3,L,normal
std_hLpm-NcjK_1706502442454_39,hLpm-NcjK,L7,l7pe,3,L,normal
std_LTI_Hxge-FW6a_1758451644295_16,Hxge-FW6a,L2,l2pe,4,L,LTI
std_qN4x-VJCU_1706514277863_54,qN4x-VJCU,L8,l8pe,4,L,normal
std_W6Lo-4MLA_1706514801728_84,W6Lo-4MLA,M5,m5pe,4,M,normal
std_apQ4-EgJb_1706514197246_49,apQ4-EgJb,L8,l8pe,4,L,normal
std_znqW-6jp3_1706508376835_79,znqW-6jp3,M4,m4pe,4,M,normal
std_3gb7-3U7h_1706517502902_71,3gb7-3U7h,M2,m2pe,4,M,normal
std_LTI_ezF6-Ykv3_1758286550256_9,ezF6-Ykv3,M3,m3pe,4,M,LTI
std_msiA-2sRW_1732021007895_55,msiA-2sRW,L7,l7pe,3,L,normal
std_MTiz-mG9Y_1732013410021_68,MTiz-mG9Y,L9,l9pe,3,L,normal
std_93Az-vC8F_1732021791732_93,93Az-vC8F,M4,m4pe,4,M,normal
std_nuHE-sFqz_1732020228710_13,nuHE-sFqz,L1,l1pe,3,L,normal
std_V8xN-kyjU_1706507999197_59,V8xN-kyjU,L9,l9pe,3,L,normal
std_zAXt-zR2q_1706498354295_48,zAXt-zR2q,L7,l7pe,3,L,normal
std_Fn6U-o46b_1706511333738_54,Fn6U-o46b,L8,l8pe,4,L,normal
std_LTI_yJXV-bT3d_1758451548540_10,yJXV-bT3d,L2,l2pe,4,L,LTI
std_aU32-EW2h_1732013133985_54,aU32-EW2h,L7,l7pe,3,L,normal
std_K7qY-CYXv_1706514050134_41,K7qY-CYXv,L7,l7pe,3,L,normal
std_v9pC-kizB_1706498549045_59,v9pC-kizB,L9,l9pe,3,L,normal
std_s2m4-n8Ty_1706510412294_6,s2m4-n8Ty,L1,l1pe,3,L,normal
std_Emy8-Prw4_1706503341433_90,Emy8-Prw4,H2,h2pe,4,H,normal
std_LTI_R7V8-V7iN_1758452053360_30,R7V8-V7iN,M3,m3pe,4,M,LTI
std_Dm4q-4qtM_1732020307845_19,Dm4q-4qtM,L1,l1pe,3,L,normal
std_2Caf-78cV_1706507577480_36,2Caf-78cV,L7,l7pe,3,L,normal
std_xrYb-2B2t_1706501809235_1,xrYb-2B2t,L1,l1pe,3,L,normal
std_4xYF-zUB3_1706516412072_5,4xYF-zUB3,L1,l1pe,3,L,normal
std_tsPE-ZxtQ_1732020850701_47,tsPE-ZxtQ,L7,l7pe,3,L,normal
std_LTI_w7x2-9xCp_1758452042547_32,w7x2-9xCp,M3,m3pe,4,M,LTI
std_LTI_By42-wjgj_1758451532839_14,By42-wjgj,L2,l2pe,4,L,LTI
std_v8yF-b6V8_1706497635658_5,v8yF-b6V8,L1,l1pe,3,L,normal
std_r7z9-74mA_1706510536752_9,r7z9-74mA,L1,l1pe,3,L,normal
std_bi6i-6VnE_1706516827345_29,bi6i-6VnE,L3,l3pe,4,L,normal
std_LTI_odUn-Y4by_1758451308121_4,odUn-Y4by,L2,l2pe,4,L,LTI
std_9cMC-xGsd_1706514788377_83,9cMC-xGsd,M5,m5pe,4,M,normal
std_jzwE-4jRk_1706510924184_34,jzwE-4jRk,L7,l7pe,3,L,normal
std_T9t4-ELH7_1732012251132_7,T9t4-ELH7,H4,h4pe,4,H,normal
std_m6Xu-9h7L_1706497535555_1,m6Xu-9h7L,L1,l1pe,3,L,normal
std_LTI_2826-9wmX_1758452052701_31,2826-9wmX,M3,m3pe,4,M,LTI
std_huj7-c92R_1706511452452_60,huj7-c92R,L9,l9pe,3,L,normal
std_buMn-GWkg_1732020819541_46,buMn-GWkg,L7,l7pe,3,L,normal
std_LTI_Hxge-FW6a_1758451680875_16,Hxge-FW6a,L2,l2pe,4,L,LTI
std_rBwA-NUWu_1706498864023_72,rBwA-NUWu,M2,m2pe,4,M,normal
std_646K-UEow_1706499257573_93,646K-UEow,H3,h3pe,4,H,normal
std_Rs7U-NUEA_1732021493847_76,Rs7U-NUEA,L9,l9pe,3,L,normal
std_uYVm-FPwW_1706502762586_56,uYVm-FPwW,L8,l8pe,4,L,normal
std_CPHM-38AM_1706499147106_90,CPHM-38AM,H2,h2pe,4,H,normal
std_LTI_Qd29-XVP9_1758286322070_2,Qd29-XVP9,L2,l2pe,4,L,LTI
std_2Caf-78cV_1706507578967_36,2Caf-78cV,L7,l7pe,3,L,normal
std_haKy-qpRK_1706503563143_97,haKy-qpRK,H4,h4pe,4,H,normal
std_2KEe-HFKQ_1732020244843_7,2KEe-HFKQ,H4,h4pe,4,H,normal
std_3QFT-h3wA_1706511317554_55,3QFT-h3wA,L8,l8pe,4,L,normal
std_Wcqv-Lmkn_1706498290994_44,Wcqv-Lmkn,L7,l7pe,3,L,normal
std_LTI_cZF2-TV3s_1758286538129_6,cZF2-TV3s,M3,m3pe,4,M,LTI
std_p4B2-Lz43_1706498324636_45,p4B2-Lz43,L7,l7pe,3,L,normal
std_ksjm-Z3eA_1732012283988_12,ksjm-Z3eA,L1,l1pe,3,L,normal
std_3gb7-3U7h_1706517563400_71,3gb7-3U7h,M2,m2pe,4,M,normal
std_LTI_yYD2-R7Kn_1758522623679_7,yYD2-R7Kn,H7,h7pe,3,H,LTI
std_LTI_By42-wjgj_1758451622989_14,By42-wjgj,L2,l2pe,4,L,LTI
std_LTI_By42-wjgj_1758451634273_14,By42-wjgj,L2,l2pe,4,L,LTI
std_6Z4w-W2jg_1732013953375_95,6Z4w-W2jg,M5,m5pe,4,M,normal
std_jxHT-nECc_1706511395179_59,jxHT-nECc,L9,l9pe,3,L,normal
std_432d-2a97_1706511765857_79,432d-2a97,M4,m4pe,4,M,normal
std_Y3Cx-W8c3_1706508439432_82,Y3Cx-W8c3,M5,m5pe,4,M,normal
std_8ayJ-89he_1706502406424_36,8ayJ-89he,L7,l7pe,3,L,normal
std_LTI_Qd29-XVP9_1758286368280_2,Qd29-XVP9,L2,l2pe,4,L,LTI
std_oZ4C-EMr7_1732021390685_72,oZ4C-EMr7,L9,l9pe,3,L,normal
std_LTI_rQA8-Zwxi_1758451340725_2,rQA8-Zwxi,L2,l2pe,4,L,LTI
std_LTI_Ps7P-CA82_1758451738013_22,Ps7P-CA82,L2,l2pe,4,L,LTI
std_n696-FycF_1732013293973_61,n696-FycF,L8,l8pe,4,L,normal
std_n82e-EABa_1706511922154_81,n82e-EABa,M5,m5pe,4,M,normal
std_Fkwj-N7e9_1706499504383_100,Fkwj-N7e9,H6,h6pe,4,H,normal
std_KG2s-b6UG_1706511109568_43,KG2s-b6UG,L7,l7pe,3,L,normal
std_prv8-7b9R_1706501907096_5,prv8-7b9R,L1,l1pe,3,L,normal
std_8cvo-e7Ch_1706502556586_46,8cvo-e7Ch,L7,l7pe,3,L,normal
std_L9Xr-p67d_1706511067205_42,L9Xr-p67d,L7,l7pe,3,L,normal
std_8ayJ-89he_1706502384418_36,8ayJ-89he,L7,l7pe,3,L,normal
std_wLcx-c9vJ_1732012866504_41,wLcx-c9vJ,L3,l3pe,4,L,normal
std_LTI_t69r-DQxd_1758451391344_9,t69r-DQxd,L2,l2pe,4,L,LTI
std_Nb9C-FxqM_1732013022234_49,Nb9C-FxqM,L7,l7pe,3,L,normal
std_LTI_ZNrt-ZJ7w_1758451695444_15,ZNrt-ZJ7w,L2,l2pe,4,L,LTI
std_LTI_8s8L-NU9J_1758451988720_29,8s8L-NU9J,M3,m3pe,4,M,LTI
std_kdX7-EJ9x_1706517531204_69,kdX7-EJ9x,M1,m1pe,4,M,normal
std_dA4N-E6JY_1706498783625_69,dA4N-E6JY,M1,m1pe,4,M,normal
std_LTI_Agw2-RzZr_1758451328503_1,Agw2-RzZr,L2,l2pe,4,L,LTI
std_LTI_8s8L-NU9J_1758452012351_29,8s8L-NU9J,M3,m3pe,4,M,LTI
std_qV7Q-72hi_1732012260678_11,qV7Q-72hi,L1,l1pe,3,L,normal
std_2KEe-HFKQ_1732020118585_7,2KEe-HFKQ,H4,h4pe,4,H,normal
std_2KEe-HFKQ_1732020199511_7,2KEe-HFKQ,H4,h4pe,4,H,normal
std_Ym97-JqxN_1732021573226_81,Ym97-JqxN,M2,m2pe,4,M,normal
std_UXHJ-7LJ6_1706498793846_71,UXHJ-7LJ6,M2,m2pe,4,M,normal
std_LTI_Qd29-XVP9_1758286187207_2,Qd29-XVP9,L2,l2pe,4,L,LTI
std_6cZs-Q4Hs_1706508119322_65,6cZs-Q4Hs,L9,l9pe,3,L,normal
std_LTI_b437-F2hD_1758451444845_6,b437-F2hD,L2,l2pe,4,L,LTI
std_e6tV-P8P2_1706503542286_92,e6tV-P8P2,H3,h3pe,4,H,normal
std_Q7PA-7mnJ_1706514042750_40,Q7PA-7mnJ,L7,l7pe,3,L,normal
std_LTI_ezF6-Ykv3_1758286555249_9,ezF6-Ykv3,M3,m3pe,4,M,LTI
std_a7Me-pTtL_1706507937597_54,a7Me-pTtL,L8,l8pe,4,L,normal
std_3WVj-gmaL_1706514225245_50,3WVj-gmaL,L8,l8pe,4,L,normal
std_T392-Dz2T_1706517598082_73,T392-Dz2T,M2,m2pe,4,M,normal
std_6cZs-Q4Hs_1706508115249_65,6cZs-Q4Hs,L9,l9pe,3,L,normal
std_LTI_odUn-Y4by_1758451211029_4,odUn-Y4by,L2,l2pe,4,L,LTI
std_68gp-xqon_1732012333762_15,68gp-xqon,L1,l1pe,3,L,normal
std_ANwd-yxHM_1706514583358_71,ANwd-yxHM,M2,m2pe,4,M,normal
std_LTI_ezF6-Ykv3_1758286699753_9,ezF6-Ykv3,M3,m3pe,4,M,LTI
std_i32p-v2Pg_1706498612851_61,i32p-v2Pg,L9,l9pe,3,L,normal
std_j2a6-2T2Q_1706501861628_4,j2a6-2T2Q,L1,l1pe,3,L,normal
std_T9t4-ELH7_1732012264272_7,T9t4-ELH7,H4,h4pe,4,H,normal
std_LTI_b437-F2hD_1758451429309_6,b437-F2hD,L2,l2pe,4,L,LTI
std_yYwV-zktv_1706502613750_48,yYwV-zktv,L7,l7pe,3,L,normal
std_9836-9Qug_1706507993323_57,9836-9Qug,L8,l8pe,4,L,normal
std_v8yF-b6V8_1706497627042_5,v8yF-b6V8,L1,l1pe,3,L,normal
std_LTI_bKW9-e3Dz_1758522492683_6,bKW9-e3Dz,H7,h7pe,3,H,LTI
std_8Qg7-V2s7_1706502547913_43,8Qg7-V2s7,L7,l7pe,3,L,normal
std_Af42-Z7JC_1732021574899_82,Af42-Z7JC,M2,m2pe,4,M,normal
std_LTI_cZF2-TV3s_1758286588624_6,cZF2-TV3s,M3,m3pe,4,M,LTI
std_LTI_Hxge-FW6a_1758451728115_16,Hxge-FW6a,L2,l2pe,4,L,LTI
std_9WTo-6R6q_1706513999011_39,9WTo-6R6q,L7,l7pe,3,L,normal
std_Ks93-68fG_1706507872411_52,Ks93-68fG,L8,l8pe,4,L,normal
std_e64n-Cc49_1706507768589_45,e64n-Cc49,L7,l7pe,3,L,normal
std_LTI_Hxge-FW6a_1758451702082_16,Hxge-FW6a,L2,l2pe,4,L,LTI
std_LTI_eB4a-gE92_1758451740782_17,eB4a-gE92,L2,l2pe,4,L,LTI
std_LTI_AU4L-6pc6_1758522557362_10,AU4L-6pc6,H7,h7pe,3,H,LTI
std_y4LH-QVv6_1706513927735_35,y4LH-QVv6,L7,l7pe,3,L,normal
std_fh7m-o268_1706508655026_95,fh7m-o268,H3,h3pe,4,H,normal
std_P8it-7cC3_1706513485684_10,P8it-7cC3,L1,l1pe,3,L,normal
std_WaAb-sKTL_1706498458362_53,WaAb-sKTL,L8,l8pe,4,L,normal
std_LTI_odUn-Y4by_1758451318936_4,odUn-Y4by,L2,l2pe,4,L,LTI
std_ajPR-WKH2_1706499369377_97,ajPR-WKH2,H4,h4pe,4,H,normal
std_J3x7-Z96h_1706513375299_4,J3x7-Z96h,L1,l1pe,3,L,normal
std_W9pT-neg6_1732013135017_55,W9pT-neg6,L7,l7pe,3,L,normal
std_J4Dg-bjtJ_1706511464531_62,J4Dg-bjtJ,L9,l9pe,3,L,normal
std_LTI_odUn-Y4by_1758451360499_4,odUn-Y4by,L2,l2pe,4,L,LTI
std_eAQ8-Y3nM_1732021924640_96,eAQ8-Y3nM,M5,m5pe,4,M,normal
std_LTI_RA3N-Mrj7_1758286450270_7,RA3N-Mrj7,M3,m3pe,4,M,LTI
std_3x9D-mXnc_1706502728133_55,3x9D-mXnc,L8,l8pe,4,L,normal
std_VCzA-7okC_1706507687093_41,VCzA-7okC,L7,l7pe,3,L,normal
std_LTI_6rAq-Y74G_1758451404253_7,6rAq-Y74G,L2,l2pe,4,L,LTI
std_T9t4-ELH7_1732012264272_7,T9t4-ELH7,H4,h4pe,4,H,normal
std_LTI_4QjU-6468_1758286283432_5,4QjU-6468,L2,l2pe,4,L,LTI
std_LTI_RaL9-a3Bu_1758451739161_18,RaL9-a3Bu,L2,l2pe,4,L,LTI
std_LTI_7Tpj-sksu_1758451484970_11,7Tpj-sksu,L2,l2pe,4,L,LTI
std_buMn-GWkg_1732020813918_46,buMn-GWkg,L7,l7pe,3,L,normal
std_Fkwj-N7e9_1706499337730_100,Fkwj-N7e9,H6,h6pe,4,H,normal
std_LTI_ob4E-2N49_1758286653741_8,ob4E-2N49,M3,m3pe,4,M,LTI
std_7dA9-BAsN_1706501815931_2,7dA9-BAsN,L1,l1pe,3,L,normal
std_NwsH-B97N_1732020800857_45,NwsH-B97N,L7,l7pe,3,L,normal
std_LTI_GkZT-uv39_1758451630758_13,GkZT-uv39,L2,l2pe,4,L,LTI
std_uAhj-ABQ3_1706508613602_93,uAhj-ABQ3,H3,h3pe,4,H,normal
std_c6pH-VDJt_1706516428756_7,c6pH-VDJt,L1,l1pe,3,L,normal
std_LTI_6XUi-P6Ca_1758522600726_8,6XUi-P6Ca,H7,h7pe,3,H,LTI
std_4zgk-nyU7_1706503664985_100,4zgk-nyU7,H6,h6pe,4,H,normal
std_4xe4-PW98_1706511508108_63,4xe4-PW98,L9,l9pe,3,L,normal
std_VC26-Y89F_1706520770266_72,VC26-Y89F,M2,m2pe,4,M,normal
std_9836-9Qug_1706507983344_57,9836-9Qug,L8,l8pe,4,L,normal
std_tyRa-yk2n_1706503078250_71,tyRa-yk2n,M2,m2pe,4,M,normal
std_A7R3-abav_1732021143194_61,A7R3-abav,L8,l8pe,4,L,normal
std_kdX7-EJ9x_1706517476828_69,kdX7-EJ9x,M1,m1pe,4,M,normal
std_s793-R8ge_1706514114133_44,s793-R8ge,L7,l7pe,3,L,normal
std_V6xb-kb6o_1706497582027_2,V6xb-kb6o,L1,l1pe,3,L,normal
std_LTI_7Tpj-sksu_1758451552919_11,7Tpj-sksu,L2,l2pe,4,L,LTI
std_dnaj-J7yL_1706497769623_11,dnaj-J7yL,L1,l1pe,3,L,normal
std_ay23-aysP_1732020247191_16,ay23-aysP,L1,l1pe,3,L,normal
std_WT3y-T6iL_1706508086819_64,WT3y-T6iL,L9,l9pe,3,L,normal
std_97Uo-q2C6_1706514154603_48,97Uo-q2C6,L7,l7pe,3,L,normal
std_D2Dy-8yLY_1732013080462_52,D2Dy-8yLY,L7,l7pe,3,L,normal
std_MTiz-mG9Y_1732013408440_68,MTiz-mG9Y,L9,l9pe,3,L,normal
std_D2Dy-8yLY_1732013093552_52,D2Dy-8yLY,L7,l7pe,3,L,normal
std_KJvV-UdXx_1706503552590_84,KJvV-UdXx,M5,m5pe,4,M,normal
std_LTI_Agw2-RzZr_1758451218655_1,Agw2-RzZr,L2,l2pe,4,L,LTI
std_AqT4-QpVZ_1706511239657_52,AqT4-QpVZ,L8,l8pe,4,L,normal
std_RcaK-HUEv_1732021462416_77,RcaK-HUEv,L9,l9pe,3,L,normal
std_bYK9-LjaY_1706510573674_15,bYK9-LjaY,L1,l1pe,3,L,normal
std_qVNP-37ng_1732020950192_54,qVNP-37ng,L7,l7pe,3,L,normal
std_cjp7-3p3p_1732021985902_100,cjp7-3p3p,M5,m5pe,4,M,normal
std_LTI_ARaE-7k2J_1758286395597_3,ARaE-7k2J,L2,l2pe,4,L,LTI
std_LTI_By42-wjgj_1758451660223_14,By42-wjgj,L2,l2pe,4,L,LTI
std_LTI_yJXV-bT3d_1758451569636_10,yJXV-bT3d,L2,l2pe,4,L,LTI
std_9836-9Qug_1706507995305_57,9836-9Qug,L8,l8pe,4,L,normal
std_NoMT-fe8H_1706498323879_47,NoMT-fe8H,L7,l7pe,3,L,normal
std_LTI_4QjU-6468_1758286250847_5,4QjU-6468,L2,l2pe,4,L,LTI
std_A7R3-abav_1732021121603_61,A7R3-abav,L8,l8pe,4,L,normal
std_DkgB-ZbuC_1706507111043_10,DkgB-ZbuC,L1,l1pe,3,L,normal
std_jxHT-nECc_1706511428705_59,jxHT-nECc,L9,l9pe,3,L,normal
std_F9eh-CE9L_1706510356604_1,F9eh-CE9L,L1,l1pe,3,L,normal
std_vfj8-cFXZ_1732020095703_5,vfj8-cFXZ,H2,h2pe,4,H,normal
std_wVR6-wf78_1732013613009_79,wVR6-wf78,M1,m1pe,4,M,normal
std_VCzA-7okC_1706507675112_41,VCzA-7okC,L7,l7pe,3,L,normal
std_N8WE-wd8G_1706502629707_49,N8WE-wd8G,L8,l8pe,4,L,normal
std_7dA9-BAsN_1706501817645_2,7dA9-BAsN,L1,l1pe,3,L,normal
std_9T4D-8JHj_1706499154021_83,9T4D-8JHj,M5,m5pe,4,M,normal
std_APAr-hT62_1732013858723_91,APAr-hT62,M4,m4pe,4,M,normal
std_ViKC-GXK9_1706508591671_91,ViKC-GXK9,H2,h2pe,4,H,normal
std_zAXt-zR2q_1706498373465_48,zAXt-zR2q,L7,l7pe,3,L,normal
std_cbuF-tsTb_1706502926340_64,cbuF-tsTb,L9,l9pe,3,L,normal
std_LTI_36t7-FaWB_1758451759790_21,36t7-FaWB,L2,l2pe,4,L,LTI
std_vUnU-PYbs_1706498020013_29,vUnU-PYbs,L3,l3pe,4,L,normal
std_232H-GsRM_1706499265796_94,232H-GsRM,H3,h3pe,4,H,normal
std_LTI_ezF6-Ykv3_1758286580242_9,ezF6-Ykv3,M3,m3pe,4,M,LTI
std_LTI_ARaE-7k2J_1758286379425_3,ARaE-7k2J,L2,l2pe,4,L,LTI
std_kCbf-n34n_1706507859909_50,kCbf-n34n,L8,l8pe,4,L,normal
std_3X48-cuRK_1706511617811_71,3X48-cuRK,M2,m2pe,4,M,normal
std_bYK9-LjaY_1706510623957_15,bYK9-LjaY,L1,l1pe,3,L,normal
