extuserid,classcode,classid,invid,tchextuserid,category,category_type
s42_1735808601269_28,ZfD8-9T82,0784c813-a690-4ba7-9faf-9de897f86552,4c729dc1-1372-4e83-8128-65791fc0463e,tch_M3_20241220-102523_11,M3,M
s42_1735629865549_10,7Wim-xY9p,63801d42-efe6-437c-b316-8b21945069a4,7f7dd9c7-14f6-449f-a0d7-a24b5df5c2a5,tch_L7_20241114-124601_7,L7,L
s42_1735792106607_5,E623-79H9,9134a62d-fb44-4fba-bf3f-c7d457ab9732,6dc1c533-4107-4182-a178-c5071302ecb8,tch_L8_20241114-124601_8,L8,L
s42_1735792333259_10,8Au8-KgG7,6eea77cd-65c6-44bc-ae98-5996a881ac1f,5c390589-3f58-4dd2-8a2c-1ed50ffd05b4,tch_L8_20241114-161323_8,L8,L
s42_1735630388087_33,GHsz-qaj6,c7e2c7aa-3d89-44e3-af9a-dd3c691f40a2,3d9b8096-865a-4f3f-be7e-3c217fa6b46a,tch_L7_20241211-114436_6,L7,L
s42_1736225310375_48,hGRj-AdgF,a3229865-e488-4ff8-ad76-7ec93fb01efb,89d1ea33-a45a-4875-8c23-7f6577fb6c8d,tch_L1_20241219-122125_2,L1,L
s42_1736227698732_30,ZEVN-QZeu,5a4db81f-77ce-4697-a396-195725f9e2cb,e5619b41-ae3d-4d0f-a321-2d828a50941f,tch_L2_20241211-104452_4,L2,L
s42_1736224545671_14,LPTB-j9pU,c28aceb9-e526-44c6-9ebf-2636e1ffe098,073cf3aa-c264-4a1d-83f7-8d6d5df756bf,tch_L1_20241114-143802_2,L1,L
s42_1735630863760_59,6H4x-KJML,24357161-fee3-40b1-aaaa-d3a39742cabe,1873bda8-6a67-4e28-a276-ee697ca68c77,tch_L7_20241220-112940_6,L7,L
s42_1735792551700_15,F96c-RL8W,5528150f-7c6c-4194-b3ce-b5d124ae8efb,813bb6f1-4910-49fd-adab-eff3a9c644bd,tch_L8_20241211-104452_8,L8,L
s42_1736228212423_57,6Lys-Ljb8,7d4a3e76-9afa-4769-8aad-604705c35efa,55f28e55-cf6e-4ae9-b638-4e6c44c24a69,tch_L2_20241220-104739_3,L2,L
s42_1735630566677_42,zrBN-wHCK,1a1ba6f0-33bc-4044-a9fb-b5846ed4d4df,c2beb338-bcaa-4a90-b8a9-4a8f2675fb5c,tch_L7_20241219-111930_6,L7,L
s42_1735809716917_5,zHp9-JHGY,62e3edaf-9b0a-47a0-a202-2773078cd6b9,fb77d427-b409-4b91-83b8-9b2c5720092b,tch_M5_20241114-124601_12,M5,M
s42_1736229772828_28,AfWr-mfiH,ab7a210a-dbdd-45c9-a6aa-485e5d3930ea,ff6e5b9e-eafd-4e61-a4fc-346515bc1d4d,tch_H1_20241220-102523_13,H1,H
s42_1735630433554_40,Mm3C-jEvW,47845a51-c1ff-45dc-a47d-89d41b0cac6b,afbf46b4-8802-4734-9767-72ab5fa563a9,tch_L7_20241219-105858_7,L7,L
s42_1735630351547_36,MD2N-AoC9,ec6b27fa-9038-435f-8ad3-10541e37db11,6c83175b-d371-490d-9ec0-b25166793f95,tch_L7_20241211-123805_7,L7,L
s42_1735630467625_37,Q9kN-r4tC,c3fbab06-71c8-4b81-91ca-91b31821020c,714656cf-19b8-484b-a0f8-37c4d26b7af3,tch_L7_20241219-101523_6,L7,L
s42_1735807529337_5,kMvU-VfVr,0a385fde-d511-4597-8c70-19fbfd48ac9d,dba0ada7-88ed-41c6-bf4d-25ead744745a,tch_M3_20241114-124601_11,M3,M
s42_1735629071895_17,HTmu-3cVa,67efcf7c-cdac-4f4d-84a2-bac3c38cae06,fc396d58-24a5-4b96-ae3e-0e2957678c7d,tch_L3_20241211-114436_5,L3,L
s42_1735629913165_12,Abp8-9XTv,b55978ec-e404-4a48-9b00-aea5e6c286cc,710ecb3c-350b-40bd-8891-7e6067a2fd55,tch_L7_20241114-134749_7,L7,L
s42_1735809583566_2,hVw3-8r9F,ab362c97-2e16-409b-bd68-18689d9e1e8c,fc27fdb7-522a-4299-be3c-2c9d71875744,tch_M5_20241114-105717_12,M5,M
s42_1735808565034_26,4M3k-V8DJ,32ebbba8-7aaa-4991-ab7c-19a8cb176eab,44e86508-299e-4e90-a108-0376bb72bf0c,tch_M3_20241219-130914_11,M3,M
s42_1736229065855_11,9WEJ-C9Wg,8dbd30a2-fd96-4e8d-8ce5-1ae8e03b29f9,4c76772a-b46c-4d9a-9bcc-fc7cc86b496b,tch_H1_20241118-095649_13,H1,H
s42_1735799823463_25,e4iD-6nQx,70d37508-2597-4940-87c3-714e12ae965b,33d9ce21-111f-4d4b-b6e5-e7652139eb73,tch_L9_20241219-124752_9,L9,L
s42_1736229528676_22,g286-wk7T,9789aad5-c1dc-4f16-b603-6e21b05e0ce6,00a234fb-48e4-4c11-b9fb-fff6fc7706eb,tch_H1_20241211-114436_13,H1,H
s42_1735630827200_57,rDtE-saLU,1e6afbd1-c423-4889-8322-1ac562eb9fe7,7486e80c-5237-4153-bc3b-25ffdbd3a35c,tch_L7_20241220-104739_6,L7,L
s42_1735808324038_22,bip7-3R6t,296e6b21-aac5-4f96-87d3-be1c90464495,625a4aac-5452-4541-b12b-8494900c1aa2,tch_M3_20241211-114436_11,M3,M
s42_1735802277563_7,qmM9-7gGA,d40e712b-b399-44ec-a362-4d8c751d2bdc,8106f2b9-e7b1-4ba4-a931-c5376b2cec11,tch_M2_20241114-143802_10,M2,M
s42_1735629903148_10,7Wim-xY9p,63801d42-efe6-437c-b316-8b21945069a4,ae0586bb-fc7f-46ae-861f-0785d36bf48d,tch_L7_20241114-124601_7,L7,L
s42_1735792045894_4,p9o7-Ff7L,31f0ef5a-b871-4233-9922-98dd158ff953,6c6cb8d1-86e5-4246-9341-5fefa2ad936c,tch_L8_20241114-122355_8,L8,L
s42_1735808423144_24,xpAo-9EyN,8f71c3f5-1ecc-4c70-8a93-e44a065b881a,2c957480-67c5-48bc-8a9d-b22eb6033d73,tch_M3_20241219-122125_11,M3,M
s42_1736225198682_43,J8fP-79oQ,5f7cc648-e982-44f1-a234-dfc156984660,1a57bdf6-409a-488e-a166-2fe35d51d9eb,tch_L1_20241211-114436_2,L1,L
s42_1735802292336_7,qmM9-7gGA,d40e712b-b399-44ec-a362-4d8c751d2bdc,f700a740-0e88-4dd7-a778-f0497e8ef448,tch_M2_20241114-143802_10,M2,M
s42_1736227444717_18,7R8W-w43U,67468997-cee2-4561-b545-915a4d0a55bc,ec201e72-6754-43f0-a680-8fd603426f63,tch_L2_20241114-154555_4,L2,L
s42_1736228105267_51,Ldn9-xC2Y,825a8961-fd86-4000-8f3b-89e77a60f6e3,e62bcfb6-66d2-49f5-9a8a-5451e9586eb9,tch_L2_20241219-130914_3,L2,L
s42_1735629238547_26,znQi-C6K9,91e5b702-9470-4a2c-a908-8722a23baa77,a571f3fe-d784-4e8d-8ec6-0a6f886b1778,tch_L3_20241219-130914_5,L3,L
s42_1736228789296_4,R96w-9Bm3,17fdace6-7866-4a4d-9852-609e3292159c,21ac218b-afbe-4dca-92e7-cbf04f49d993,tch_H1_20241114-122355_13,H1,H
s42_1735792111281_6,Z9kC-pxuR,52588330-fb9f-4ff8-9aba-c64683822619,03b3b8a1-2ff8-4f8e-8bb0-d79cd06c7292,tch_L8_20241114-134749_8,L8,L
s42_1735799043876_10,4qRj-Lso3,0ee015bb-adc8-4b1f-99f1-c6685eab7de4,84bdf467-f8b6-4ec2-b25a-fb9642816598,tch_L9_20241114-161323_9,L9,L
s42_1735803117870_24,Yjmj-7Uo7,3f178a52-4fec-48ed-aa41-43db294c6ca3,a8c24c62-fa43-41b6-9838-c040c6fa664e,tch_M2_20241219-122125_10,M2,M
s42_1736227804864_34,u7KX-73nU,19c901a1-3270-4973-84a4-9b0300a2d7c0,832051a5-5af9-4200-8b77-7a314d28c01d,tch_L2_20241211-114436_4,L2,L
s42_1735798839178_6,T3U6-cLoP,562e0339-2acf-4fae-b602-8694aecafa6e,0877653c-9b98-4c27-ad06-716e6be31878,tch_L9_20241114-134749_9,L9,L
s42_1735799283591_14,Xe32-qjCY,8ef2f046-87b1-432e-98bb-cf0253585ac4,db048d7a-c68d-4602-bceb-d8bc1165ebc2,tch_L9_20241119-125944_9,L9,L
s42_1736225007713_36,t4Ue-Ff2w,d4eef48d-2c35-430e-8015-534d03567f5a,8546aad7-c568-4509-82ed-f59462ce3cd4,tch_L1_20241211-123805_2,L1,L
s42_1735798777274_5,W6HE-ycF6,e9a5d4c5-56c0-4986-9833-065a17a09722,5528c523-d7a1-4cbe-bfad-5aac57ea33ed,tch_L9_20241114-124601_9,L9,L
s42_1736227571182_20,7H4Y-9e2r,5777f864-8dc6-44fe-acb9-3294009fdbb8,00ac61bc-b053-4e9c-b59a-6425ef8f4168,tch_L2_20241114-161323_3,L2,L
s42_1736228843336_5,4dEm-4fx4,687a450d-64dd-4053-842e-bae785245440,b1724e7d-1074-42a1-ac2d-6f4304f7f26a,tch_H1_20241114-124601_13,H1,H
s42_1735799701535_24,C2D3-H4Rp,e77f8d21-f304-4d8e-acb0-5d0edb23e727,fc4301e4-6bd2-4cfb-8dce-80af58496460,tch_L9_20241219-122125_9,L9,L
s42_1735630278712_31,iG2K-WGUi,21548938-56ec-45e8-a96f-1b1f3fe43691,49001625-9b24-4dc2-b072-a12c712f608f,tch_L7_20241211-111527_6,L7,L
s42_1735630574560_44,3r7y-HDGg,7fe58a4a-0ac3-4f3d-8c8a-77dd07feb1dc,2d07af86-afb9-4d67-870c-286d3bcc7396,tch_L7_20241211-114436_7,L7,L
s42_1736227323481_10,6mTw-vga6,a7dee67d-ff8c-47e6-a1f7-162dbcd8bd0d,cb911b6c-f513-45c4-a76a-eae0c331e346,tch_L2_20241114-124601_4,L2,L
s42_1736224822570_28,aLmT-CEA9,8c4a6105-ff5a-4c72-ae74-c9c2b97f25e6,e12d867d-0d30-4972-bbc7-b6e67282c05d,tch_L1_20241119-125944_2,L1,L
s42_1736228037729_45,Ehj8-DUJ7,a780a104-540d-4b65-9f0d-e7455d7e5596,d02a6ddf-f2d0-4c60-91e8-3e6a132cd72a,tch_L2_20241219-114559_3,L2,L
s42_1736224548083_15,dhDj-Ym9j,6226eeff-7c47-40f8-b699-098e6ffa53e5,a48ae6f8-eb28-4a2b-a048-25aa273522e4,tch_L1_20241114-152217_1,L1,L
s42_1735629085378_20,uERG-icTp,2fb8e31e-7300-4bef-8e39-a0c8575d0071,62ecfdd7-a97a-4875-8814-81a7907c6a64,tch_L3_20241219-105858_5,L3,L
s42_1735630923148_60,uE4L-9a6m,86a1d116-bdd2-4a04-ac1c-86b64f7337a3,f67e306c-3ab0-4ce9-b48b-957882d37cc1,tch_L7_20241220-112940_7,L7,L
s42_1735807566853_6,2F42-6cLZ,1a88dd9b-20b9-4c18-adba-d079d08bedf7,9f0f4371-f0d3-4077-8181-44e0ae6b4d38,tch_M3_20241114-134749_11,M3,M
s42_1736227515975_22,92wA-yAib,1190a2d6-f838-49ba-9580-59d9d314740d,a3cbb5c0-4304-4ce5-9c4c-ca5ccc78c309,tch_L2_20241118-095649_4,L2,L
s42_1735629913606_10,7Wim-xY9p,63801d42-efe6-437c-b316-8b21945069a4,76547bc4-5a31-4801-aa9f-31333cf23def,tch_L7_20241114-124601_7,L7,L
s42_1736225343898_53,b8G7-CUFQ,6dc6c34a-f7cd-4c69-a348-597454afae89,e3cf0be8-08b0-4132-b3a4-7b5721493297,tch_L1_20241220-095811_1,L1,L
s42_1735630344006_32,zUbo-k73G,9afebf0b-8179-4c5e-9ba1-ab9a86a6cc8a,92eee6dc-46e2-488e-a208-d46ec519f3be,tch_L7_20241211-111527_7,L7,L
s42_1735629263139_28,P9cP-LC6U,582f7494-7ab1-4f03-a671-e44272de8e82,d9616dbc-8a9b-44e2-9abc-dc731b01b50b,tch_L3_20241220-102523_5,L3,L
s42_1735799956528_28,t2up-qr9n,46440a74-0a17-4c21-9c75-74e3d37d5d53,e3201fd0-ab51-4d44-9283-386c1a85fc15,tch_L9_20241220-102523_9,L9,L
s42_1736228181496_52,7eDo-reo2,a3d3cdb6-2952-4a9c-872e-23c9aedfb985,8a8e4ed8-7307-49c0-9d84-6d1ebde8a72d,tch_L2_20241219-130914_4,L2,L
s42_1735798698230_3,cf3N-272X,951f91a5-5913-461e-8e94-68c5b5dc3ed9,a8d66fac-0876-41d9-b0a9-b802e23eb2e4,tch_L9_20241114-112810_9,L9,L
s42_1735792728800_17,3nza-wDFs,4339cf29-815f-43eb-9f83-e9f1cf871175,ad47929d-772d-401c-9d25-34d2987518ce,tch_L8_20241211-114436_8,L8,L
s42_1735807367368_3,woGQ-6chZ,4d602f5a-1f5f-4f93-a31c-5ee51575cee6,c0ee51f8-78c3-40c2-a75c-34487213fa58,tch_M3_20241114-112810_11,M3,M
s42_1736229427776_21,7kmx-LvJU,fb8aad16-5c4e-4aaf-b72c-ab62b7427b63,5d45d7cc-e15e-405c-81fe-e311c6d90c5b,tch_H1_20241219-111930_13,H1,H
s42_1736227824978_33,X74A-3w9Q,a428a380-9d4f-4fb0-9197-ac75630dac3f,00e24426-8bf2-47c0-a875-bb97e58d24e7,tch_L2_20241211-114436_3,L2,L
s42_1736228745387_2,ued2-Hw7t,5a99e5e8-9724-4351-9062-c495022042ea,eda817d3-e4c7-4703-a3d9-9c63682e2870,tch_H1_20241114-105717_13,H1,H
s42_1735630903344_60,uE4L-9a6m,86a1d116-bdd2-4a04-ac1c-86b64f7337a3,eb0a720d-3f9e-4df7-b899-849eb2022a4d,tch_L7_20241220-112940_7,L7,L
s42_1735793294643_30,oXM9-23zi,eb36d0fd-2c21-4025-81d8-7f7a27326198,ef320108-2c9a-45ca-9c45-826636f814ee,tch_L8_20241220-112940_8,L8,L
s42_1735629105045_18,uCm6-z7o7,14de1b73-8f3c-470e-8e78-d1ed99dd039f,82fef8f6-2f31-477e-b54f-dc982588c499,tch_L3_20241211-123805_5,L3,L
s42_1735808552754_26,4M3k-V8DJ,32ebbba8-7aaa-4991-ab7c-19a8cb176eab,c3a4e448-3a4e-4b9c-b906-27081172e370,tch_M3_20241219-130914_11,M3,M
s42_1736228211198_56,7u8o-WqUc,e18bb181-5609-4779-a2ad-62f23923d2dd,84fbf97c-340b-4418-84f5-3d2330a16917,tch_L2_20241220-102523_4,L2,L
s42_1736228937574_7,6KTB-2ve8,11e80af1-55a1-43e3-9cea-e4b30c2361b1,e2445dab-61cb-4519-9a17-622e751118d2,tch_H1_20241114-143802_13,H1,H
s42_1736229134071_12,Ao4Z-T4m9,e0d50516-f4ec-4148-9f1c-fe97483141fd,55b831d6-1e83-425d-964d-4011ebee1bd5,tch_H1_20241118-102254_13,H1,H
s42_1735630428959_39,wMWH-WKGC,eb26cc07-ce8c-4c6a-a432-7038f0cf26bd,54d13012-aa35-4b5a-8945-6828def04752,tch_L7_20241219-105858_6,L7,L
s42_1735798645116_3,cf3N-272X,951f91a5-5913-461e-8e94-68c5b5dc3ed9,b9f1391b-148a-43d8-b2b0-6595fdb67401,tch_L9_20241114-112810_9,L9,L
s42_1736227704826_32,iv78-pryf,ae3a6011-ecc3-4d10-bab2-502f57846a37,4060ad3f-5fc6-4342-9854-5a159c56a155,tch_L2_20241211-111527_4,L2,L
s42_1736224363490_4,MH3f-j7Rk,f0cd8f2c-a507-4b6a-a1b0-f18e7136fcc7,d569794d-19af-4934-9bbe-b39ad205c70c,tch_L1_20241114-105717_2,L1,L
s42_1735799451966_17,8itR-rvAa,a6e2b11b-bbbe-4155-be88-e717977a9cd8,58a60f05-8b71-4102-9f0f-280e600c2f27,tch_L9_20241211-114436_9,L9,L
s42_1735630044408_19,3amu-gZyK,31ae0983-fd56-4f49-8aa9-91dec344226a,d5acd3ba-b391-4a2c-bd99-a268f1a8a150,tch_L7_20241114-161323_6,L7,L
s42_1736225429924_57,pC6v-97XA,6b5bcc6c-c4f2-4ec9-9ce9-75bc091a932f,987410df-3bf0-4dee-ae01-1cb83b383747,tch_L1_20241220-104739_1,L1,L
s42_1735803035488_22,4yEB-DgnP,bc0f2966-51d0-4c16-a5d6-5a452809ac6a,f1afe59f-4c47-4457-852b-9a1a6189bda0,tch_M2_20241211-114436_10,M2,M
s42_1735791971568_2,2Gsr-MU7h,7d5a7868-51e2-456b-9abf-a7cc21dab04c,e9a0907a-ac10-4f66-aabe-82981677efc0,tch_L8_20241114-105717_8,L8,L
s42_1736225020964_34,V983-873n,883a437f-3bae-4661-abee-7f3ad003e099,4eb51639-07af-4c0d-9f1e-98e293e334bb,tch_L1_20241211-114436_1,L1,L
s42_1735798722168_4,dH49-3b78,94a8ba92-d8b3-4aeb-8409-7f715bc09bd7,df0e281f-f249-48b6-97a2-19206e9bc016,tch_L9_20241114-122355_9,L9,L
s42_1736227278775_8,K674-8jQs,45052894-1afc-4842-a870-6be0172a9748,a9f7e414-5644-49a8-b172-c147f1c09979,tch_L2_20241114-122355_4,L2,L
s42_1736229436346_19,wNgd-L8Pi,a6ff0f8d-8f51-4fe3-a088-fc51425b4d08,fc1a9ab5-1ff0-46a1-8437-a84c318ba3c6,tch_H1_20241219-101523_13,H1,H
s42_1735629049104_15,whq2-G6cM,217ada29-77d9-464b-b86f-dd8e855b7b33,e0553687-afc3-481c-be1e-ad947691d89d,tch_L3_20241211-104452_5,L3,L
s42_1735799789851_25,e4iD-6nQx,70d37508-2597-4940-87c3-714e12ae965b,247df1e0-ac0f-45d1-bcc3-913565cb6c94,tch_L9_20241219-124752_9,L9,L
s42_1735793109275_25,vq2L-9kG7,1e29122e-7367-42db-854b-396f53eb6661,a8233785-aa3e-46e1-9752-e1c42d579a41,tch_L8_20241219-124752_8,L8,L
s42_1735630400100_34,3r7y-HDGg,7fe58a4a-0ac3-4f3d-8c8a-77dd07feb1dc,62e0c31d-4791-4783-8918-ae8861b35767,tch_L7_20241211-114436_7,L7,L
s42_1735792863140_21,3Fn6-37GA,a6bc4109-d131-4f87-8c14-257dd824e073,a3574eed-dae1-4b82-947a-5b99d236c5ef,tch_L8_20241219-111930_8,L8,L
s42_1735630467325_42,zrBN-wHCK,1a1ba6f0-33bc-4044-a9fb-b5846ed4d4df,3f29669b-3318-4c3d-9ab4-7a900ef8c4db,tch_L7_20241219-111930_6,L7,L
s42_1735808327461_21,Mkx9-sX3Y,31a2437c-fc70-4951-a967-5ed0812f76e2,2b22f7db-2af0-4264-aa10-3b881736e171,tch_M3_20241219-111930_11,M3,M
s42_1735810822880_27,y8eo-RXn4,8c47de9f-2d58-42d5-beb1-cce1ad937c31,bbef4cda-2732-4c0e-99e9-810da5f8a194,tch_M5_20241220-095811_12,M5,M
s42_1735628974488_11,FG6E-v4fM,16060682-a72e-46b1-a1e8-b139b7aa508e,254e0d33-35cb-4917-a571-974bffb0c19e,tch_L3_20241118-095649_5,L3,L
s42_1736229807564_28,AfWr-mfiH,ab7a210a-dbdd-45c9-a6aa-485e5d3930ea,6acaf9e8-56fe-446e-950f-5cd70c2fab5e,tch_H1_20241220-102523_13,H1,H
s42_1736227729422_28,r4e9-3qUb,7ea3de25-4fc7-4b43-bd11-b5cddc55b995,55895d42-9f1c-4434-ab86-cf75596597a9,tch_L2_20241119-125944_3,L2,L
s42_1736228150341_53,sBe9-jrx7,9df51c96-39d3-40cc-865a-1bc71d9e4517,4e6d7787-f74b-456a-a0d1-40d2799ce29c,tch_L2_20241220-095811_3,L2,L
s42_1735630431042_36,MD2N-AoC9,ec6b27fa-9038-435f-8ad3-10541e37db11,f5b57a43-a3ed-4eac-96a3-5e072b5c1a38,tch_L7_20241211-123805_7,L7,L
s42_1735810951369_31,pBnD-2j49,a185c741-2f2d-46ec-b0cb-692bef5538bc,605a4ecb-52e7-4341-a82c-b4b35a8be08a,tch_M5_20241220-120126_12,M5,M
s42_1735802503003_11,h2dr-Fx8K,e400af21-74f4-47ec-863a-d2e6b48001d1,9f1508e0-cdeb-453e-811f-f9e08a6f956b,tch_M2_20241118-095649_10,M2,M
s42_1736224337387_1,B2qE-q42P,c3b70321-effb-4547-9343-ccc35b128ff3,cda40dce-8f31-4762-8572-b0442b94669d,tch_L1_20241114-102050_1,L1,L
s42_1736224895066_27,uLuh-UVhq,dc886f7a-4a86-46f6-9c95-5e7d0f15843b,4f9451ac-48fd-4797-8516-ccfd7a577457,tch_L1_20241119-125944_1,L1,L
s42_1735793196845_26,uVeU-K69c,d6003091-d20d-455d-b068-18e4f0ad4349,195dab34-c892-4426-8395-d54a36bcea6a,tch_L8_20241219-130914_8,L8,L
s42_1735629972818_16,Tojt-32k6,961e722a-ad6a-443b-a1cb-52898d9ec97a,447a4674-2654-4987-80f8-5a6452cff7fe,tch_L7_20241114-152217_7,L7,L
s42_1735629849001_10,7Wim-xY9p,63801d42-efe6-437c-b316-8b21945069a4,53d9a2da-d4cc-4b4d-89c9-32838310fe97,tch_L7_20241114-124601_7,L7,L
s42_1736227774824_35,7dmB-3zL2,08dcb2a5-c6ba-4312-8224-c389569e7289,c9b57952-2735-4a73-94a4-372a3c032206,tch_L2_20241211-123805_3,L2,L
s42_1735630243015_29,3o28-PcFe,68941fa3-eb71-4410-9f4a-4a034bcb1555,5dff434a-8cb9-43a8-859e-52fefff7287b,tch_L7_20241211-104452_7,L7,L
s42_1736224714833_24,7cgx-mQ6X,c38e3b0e-fc67-4b99-abef-e458ed97db00,c4efadb9-49a2-4c46-a0be-82cfc52614d1,tch_L1_20241118-102254_2,L1,L
s42_1735629214960_22,HTmu-3cVa,67efcf7c-cdac-4f4d-84a2-bac3c38cae06,0fffcbc2-267e-49f7-8c1f-f9337336cfe4,tch_L3_20241211-114436_5,L3,L
s42_1736227560866_21,VWCw-9U7U,11173ee7-3d90-4fc9-98d2-bce12ecfd9d0,a7a168de-c120-4ca6-a383-bb30f1efd9a6,tch_L2_20241118-095649_3,L2,L
s42_1736224783639_24,7cgx-mQ6X,c38e3b0e-fc67-4b99-abef-e458ed97db00,03db87c2-dd2d-43b8-a60e-dfa6ee7b5990,tch_L1_20241118-102254_2,L1,L
s42_1736228937072_8,QrF9-g23F,e3d7585a-7d40-4752-9e56-eab465f39a85,b757bd3f-69e8-40c7-b649-fb76fdaef0a7,tch_H1_20241114-152217_13,H1,H
s42_1735803049911_21,V9Xi-b8gX,cd2e005a-0014-4136-8521-64627c9e7b1f,7d7b4b68-373f-450d-8e7b-c460e1252c0f,tch_M2_20241219-111930_10,M2,M
s42_1736224816728_27,uLuh-UVhq,dc886f7a-4a86-46f6-9c95-5e7d0f15843b,0df2d477-cbe8-4106-bc57-27b4e0e1991a,tch_L1_20241119-125944_1,L1,L
s42_1735810758538_26,G2hV-HFdU,d1c01b2a-d2bf-46e0-8e27-9425be941201,ec37c4b9-b2b1-4d1e-a179-b585b859ec15,tch_M5_20241219-130914_12,M5,M
s42_1736229336140_17,g286-wk7T,9789aad5-c1dc-4f16-b603-6e21b05e0ce6,5cd578d0-354a-4842-bf36-ecebfc43162f,tch_H1_20241211-114436_13,H1,H
s42_1735629237219_25,wLRW-ck63,35bd4d6a-96c7-4a0f-928a-7644b82df5c3,cdae0f5d-72bc-49d3-8e01-22cb6a11377f,tch_L3_20241219-124752_5,L3,L
s42_1735799094614_11,PcDc-rwNA,aec42b4b-a5a4-4026-94da-243e7ced920c,20cdc985-ddf5-431f-9e12-d17c19fa5a2d,tch_L9_20241118-095649_9,L9,L
s42_1735808736895_30,ERUw-NCK7,ea62e409-ba06-46a3-bfa1-ea2daee95b49,65e3a46a-02ee-48f9-8b8a-23259946f4a3,tch_M3_20241220-112940_11,M3,M
s42_1735628986876_14,cUm9-By36,158ee4da-3706-425e-bdf8-fa6b8ac69256,c6999d81-d4a5-4f32-8565-2365b922f378,tch_L3_20241119-125944_5,L3,L
s42_1735630679208_52,Wp6p-trQh,bdb41575-ea00-4c77-9a47-41c1f74258d1,d83d220a-1460-4070-a347-59e9fc1d0be7,tch_L7_20241219-130914_7,L7,L
s42_1736224790594_24,7cgx-mQ6X,c38e3b0e-fc67-4b99-abef-e458ed97db00,3886acf2-3a0f-445e-8239-926e887dbe82,tch_L1_20241118-102254_2,L1,L
s42_1736229515058_21,7kmx-LvJU,fb8aad16-5c4e-4aaf-b72c-ab62b7427b63,900d99d3-186a-49d2-9efb-fa9e4b334adf,tch_H1_20241219-111930_13,H1,H
s42_1735800053850_30,nu7y-uKF3,dbf5a9c7-22e3-468d-8d3b-b6b30f48ccc5,23e4b822-bbcf-483a-94b5-17d702977123,tch_L9_20241220-112940_9,L9,L
s42_1735629084058_15,whq2-G6cM,217ada29-77d9-464b-b86f-dd8e855b7b33,07890986-1c20-40f4-a9b0-d6eb9736c57d,tch_L3_20241211-104452_5,L3,L
s42_1735629284513_30,a6hJ-7Q7j,8a4e79a5-d87e-494f-b519-306edd3be371,ea9d319d-665d-4c63-907e-d7377c808a4e,tch_L3_20241220-112940_5,L3,L
s42_1736227552072_24,zDdv-ie9h,9427ff41-6681-4d74-8bd5-2247bc5af497,66b65f19-578f-4bec-bbdd-eecff33d0c8f,tch_L2_20241118-102254_4,L2,L
s42_1735809564182_3,VZpt-ao9e,acd632d7-fb49-435e-baa6-3bfb39ea10eb,4953effe-a2fe-41f7-a3e2-745d080e6b5c,tch_M5_20241114-112810_12,M5,M
s42_1736224345958_4,MH3f-j7Rk,f0cd8f2c-a507-4b6a-a1b0-f18e7136fcc7,f13ecd0d-f77d-4c70-b6b5-6763ec7da244,tch_L1_20241114-105717_2,L1,L
s42_1736224674700_20,g2W4-Vqjq,63df8e8e-b15c-4a56-9ae1-ead804ce09b2,426fabbf-bac1-49ca-9a80-6ded923a106c,tch_L1_20241114-161323_2,L1,L
s42_1735630111686_19,3amu-gZyK,31ae0983-fd56-4f49-8aa9-91dec344226a,56cb78d2-0ea5-4d3a-beec-c4b4a343c0ad,tch_L7_20241114-161323_6,L7,L
s42_1735807264571_1,ueEa-teq6,65a7709d-25b6-458b-a25e-b09a454a2ecf,1f8ccced-cd18-4ed4-b6b1-1baaa4288334,tch_M3_20241114-102050_11,M3,M
s42_1736225353085_55,yNxJ-b6Vp,e36533ae-eef1-4b9b-8cfd-e907bcede52f,45db0e65-0a1b-420f-bd56-d77f9e188a34,tch_L1_20241220-102523_2,L1,L
s42_1735792395968_10,8Au8-KgG7,6eea77cd-65c6-44bc-ae98-5996a881ac1f,8196b93c-3d3f-4ca7-9003-2de75ba62e07,tch_L8_20241114-161323_8,L8,L
s42_1735630207375_29,3o28-PcFe,68941fa3-eb71-4410-9f4a-4a034bcb1555,6bd57b1b-4e6d-4e77-9d1b-143fa5437147,tch_L7_20241211-104452_7,L7,L
s42_1736229806578_29,yvQ7-fz3V,4dce42b3-b9c0-42fe-b194-1d3bfe4969ac,b1301616-ba9e-4702-ae84-23e27a107f4f,tch_H1_20241220-104739_13,H1,H
s42_1736228956892_8,QrF9-g23F,e3d7585a-7d40-4752-9e56-eab465f39a85,82bdbc83-422a-40de-8fc5-965cfd476523,tch_H1_20241114-152217_13,H1,H
s42_1736224531461_10,e7GT-Kb9K,602d0461-3570-4d6f-953d-9709fbaa9135,04227e84-50d8-4939-8b1d-823a842dc924,tch_L1_20241114-124601_2,L1,L
s42_1736227947476_44,u7KX-73nU,19c901a1-3270-4973-84a4-9b0300a2d7c0,1dabcc56-9190-4413-aa05-1a04cd8c0996,tch_L2_20241211-114436_4,L2,L
s42_1735808670492_28,ZfD8-9T82,0784c813-a690-4ba7-9faf-9de897f86552,c63d6d89-5460-443a-9422-a64a6412c1ed,tch_M3_20241220-102523_11,M3,M
s42_1736227745131_34,u7KX-73nU,19c901a1-3270-4973-84a4-9b0300a2d7c0,036976b2-e05a-49e4-972e-030a25ac31e2,tch_L2_20241211-114436_4,L2,L
