teacherextuserid,classtitle,classcode,category,pe_category,category_type
tch_L2_20240102-192514_11,class_L2_20240102-192514_11,2dLC-79Nh,L2,l2pe,L
tch_L3_20240222-095725_130,class_L3_20240222-095725_130,BjDo-ME9E,L3,l3pe,L
tch_L9_20240129-142710_63,class_L9_20240129-142710_63,6uqb-Hpx3,L9,l9pe,L
tch_L1_20240129-124448_6,class_L1_20240129-124448_6,bE9e-kaTa,L1,l1pe,L
tch_H1_20240222-095725_185,class_H1_20240222-095725_185,D8cr-cmfg,H1,h1pe,H
tch_H1_20240129-142710_89,class_H1_20240129-142710_89,xFcV-oF9H,H1,h1pe,H
tch_L9_20240304-175551_65,class_L9_20240304-175551_65,PZ97-PM3k,L9,l9pe,L
tch_L1_20240222-134031_10,class_L1_20240222-134031_10,Bc8T-86Xb,L1,l1pe,L
tch_H4_20240222-134031_197,class_H4_20240222-134031_197,kNR9-J4a2,H4,h4pe,H
tch_L9_20240117-181958_15,class_L9_20240117-181958_15,wjcJ-4cje,L9,l9pe,L
tch_M2_20240222-134031_172,class_M2_20240222-134031_172,zcbu-7koE,M2,m2pe,M
tch_L7_20240119-093415_20,class_L7_20240119-093415_20,N8Rw-B3Kq,L7,l7pe,L
tch_H1_20240222-124507_88,class_H1_20240222-124507_88,8moN-m8wy,H1,h1pe,H
tch_M5_20240129-115448_81,class_M5_20240129-115448_81,n82e-EABa,M5,m5pe,M
tch_L9_20240117-181958_67,class_L9_20240117-181958_67,692P-Jm7D,L9,l9pe,L
tch_L1_20240131-144641_14,context_class_L1_20240131-144641_14,Pu3U-vugN,L1,l1pe,L
tch_L7_20240129-115448_38,class_L7_20240129-115448_38,o2zy-2aB4,L7,l7pe,L
tch_L9_20240129-133344_62,class_L9_20240129-133344_62,omrT-J9fe,L9,l9pe,L
tch_M1_20231229-151113_54,class_M1_20231229-151113_54,dqnF-BEwi,M1,m1pe,M
tch_L7_20240129-093151_47,class_L7_20240129-093151_47,s2EA-u3cX,L7,l7pe,L
tch_L1_20240129-115448_1,class_L1_20240129-115448_1,F9eh-CE9L,L1,l1pe,L
tch_H2_20240222-095725_90,class_H2_20240222-095725_90,4U43-LBiE,H2,h2pe,H
tch_H2_20231229-163209_77,class_H2_20231229-163209_77,8MCs-cyfk,H2,h2pe,H
tch_L9_20240129-133344_65,class_L9_20240129-133344_65,KqiY-9K7o,L9,l9pe,L
tch_L8_20240118-160029_25,class_L8_20240118-160029_25,sakn-Zqt4,L8,l8pe,L
tch_L8_20240222-124507_154,class_L8_20240222-124507_154,p9LQ-4Fk2,L8,l8pe,L
tch_L2_20240222-095725_126,class_L2_20240222-095725_126,4ZtM-xi68,L2,l2pe,L
tch_L3_20231229-163209_29,class_L3_20231229-163209_29,RB8Y-Hn32,L3,l3pe,L
tch_H1_20240129-105848_88,class_H1_20240129-105848_88,q2Jh-Qmn8,H1,h1pe,H
tch_L8_20240129-093151_54,class_L8_20240129-093151_54,nrR3-vJtB,L8,l8pe,L
tch_H3_20240129-142710_92,class_H3_20240129-142710_92,wuru-k263,H3,h3pe,H
tch_L2_20240222-124507_19,class_L2_20240222-124507_19,6y7z-TKYN,L2,l2pe,L
tch_L7_20240129-142710_46,class_L7_20240129-142710_46,j8Ue-sMCe,L7,l7pe,L
tch_L1_20240129-115448_3,class_L1_20240129-115448_3,j7xD-uLjU,L1,l1pe,L
tch_L3_20240222-095725_129,class_L3_20240222-095725_129,Ji6H-6fJ7,L3,l3pe,L
tch_L9_20240222-124507_62,class_L9_20240222-124507_62,BV64-rc3B,L9,l9pe,L
tch_M2_20240207-120256_73,class_M2_20240207-120256_73,9JQz-vsYo,M2,m2pe,M
tch_L1_20231229-173128_4,class_L1_20231229-173128_4,T9Ei-s86v,L1,l1pe,L
tch_L7_20240129-124448_44,class_L7_20240129-124448_44,s793-R8ge,L7,l7pe,L
tch_L2_20240131-144641_25,context_class_L2_20240131-144641_25,De3x-DKD4,L2,l2pe,L
tch_M2_20240222-134031_71,class_M2_20240222-134031_71,C2CZ-bs6e,M2,m2pe,M
tch_L2_20240129-115448_23,class_L2_20240129-115448_23,AJy4-xgEy,L2,l2pe,L
tch_M4_20240222-095725_79,class_M4_20240222-095725_79,L2xM-CNME,M4,m4pe,M
tch_L7_20240222-124507_36,class_L7_20240222-124507_36,q32p-984X,L7,l7pe,L
tch_L1_20240129-082111_5,class_L1_20240129-082111_5,v8yF-b6V8,L1,l1pe,L
tch_L2_20240222-134031_19,class_L2_20240222-134031_19,2ZpV-GAcq,L2,l2pe,L
tch_L8_20240118-160029_37,class_L8_20240118-160029_37,Q7RT-6qe6,L8,l8pe,L
tch_L2_20240207-120256_27,class_L2_20240207-120256_27,P94Y-737t,L2,l2pe,L
tch_M2_20240131-144641_73,context_class_M2_20240131-144641_73,iHgA-QHRW,M2,m2pe,M
tch_L2_20240129-082111_23,class_L2_20240129-082111_23,NvFp-4m3s,L2,l2pe,L
tch_L7_20240129-124448_34,class_L7_20240129-124448_34,dZn6-dg4H,L7,l7pe,L
tch_L7_20240304-175551_144,class_L7_20240304-175551_144,ZCuA-2x43,L7,l7pe,L
tch_L8_20240129-093151_57,class_L8_20240129-093151_57,RJGL-Xo8r,L8,l8pe,L
tch_L2_20240131-144641_20,context_class_L2_20240131-144641_20,oixe-iam8,L2,l2pe,L
tch_H3_20240129-105848_92,class_H3_20240129-105848_92,q936-3Hxn,H3,h3pe,H
tch_H2_20231229-173128_79,class_H2_20231229-173128_79,7BQP-wx7c,H2,h2pe,H
tch_L9_20240117-181958_32,class_L9_20240117-181958_32,X4Z4-bFN2,L9,l9pe,L
tch_L8_20240118-160029_44,class_L8_20240118-160029_44,4m23-BaUB,L8,l8pe,L
tch_M4_20231229-173128_69,class_M4_20231229-173128_69,aVLs-x8ZU,M4,m4pe,M
tch_H1_20240207-120256_89,class_H1_20240207-120256_89,6y3A-3K4M,H1,h1pe,H
tch_L1_20240129-124448_10,class_L1_20240129-124448_10,P8it-7cC3,L1,l1pe,L
tch_L1_20240129-115448_15,class_L1_20240129-115448_15,bYK9-LjaY,L1,l1pe,L
tch_L8_20240222-095725_50,class_L8_20240222-095725_50,T73T-4y4H,L8,l8pe,L
tch_L9_20240129-093151_61,class_L9_20240129-093151_61,9wMf-xJtK,L9,l9pe,L
tch_L9_20240222-124507_59,class_L9_20240222-124507_59,Gizh-Y7hW,L9,l9pe,L
tch_L9_20240207-120256_65,class_L9_20240207-120256_65,cxwx-rfXx,L9,l9pe,L
tch_L7_20240129-115448_43,class_L7_20240129-115448_43,KG2s-b6UG,L7,l7pe,L
tch_L2_20240222-134031_123,class_L2_20240222-134031_123,7x7U-cxuZ,L2,l2pe,L
tch_L1_20231229-151113_7,class_L1_20231229-151113_7,kGcg-ERu9,L1,l1pe,L
tch_H3_20240222-134031_93,class_H3_20240222-134031_93,8r7A-6n72,H3,h3pe,H
tch_L3_20240222-095725_30,class_L3_20240222-095725_30,cCo9-DVmQ,L3,l3pe,L
tch_L1_20240222-124507_112,class_L1_20240222-124507_112,69k3-KVT7,L1,l1pe,L
tch_L9_20240117-181958_9,class_L9_20240117-181958_9,43oG-aPR9,L9,l9pe,L
tch_L1_20240304-175551_101,class_L1_20240304-175551_101,hxJQ-L3wD,L1,l1pe,L
tch_L7_20240119-093415_38,class_L7_20240119-093415_38,q6H4-D4Lh,L7,l7pe,L
tch_H1_20240129-105848_87,class_H1_20240129-105848_87,KTXh-g3bv,H1,h1pe,H
tch_L9_20240222-095725_161,class_L9_20240222-095725_161,p2b4-XmN7,L9,l9pe,L
tch_H3_20240222-134031_193,class_H3_20240222-134031_193,s7fa-nk73,H3,h3pe,H
tch_L9_20240222-124507_68,class_L9_20240222-124507_68,96oY-qkoG,L9,l9pe,L
tch_L9_20240117-181958_25,class_L9_20240117-181958_25,nR87-TwJ9,L9,l9pe,L
tch_L2_20240129-133344_16,class_L2_20240129-133344_16,H87T-oBE6,L2,l2pe,L
tch_L7_20240129-124448_38,class_L7_20240129-124448_38,4bU4-VM42,L7,l7pe,L
tch_L2_20240222-134031_116,class_L2_20240222-134031_116,7jB9-2JA6,L2,l2pe,L
tch_L2_20240129-142710_26,class_L2_20240129-142710_26,sYV8-yB8F,L2,l2pe,L
tch_L9_20240117-181958_89,class_L9_20240117-181958_89,w32H-6JC4,L9,l9pe,L
tch_L3_20240129-133344_29,class_L3_20240129-133344_29,bi6i-6VnE,L3,l3pe,L
tch_M3_20240222-124507_177,class_M3_20240222-124507_177,AmBi-xidq,M3,m3pe,M
tch_L9_20240304-175551_160,class_L9_20240304-175551_160,j6va-EisV,L9,l9pe,L
tch_L7_20240119-093415_31,class_L7_20240119-093415_31,3Jm2-o47v,L7,l7pe,L
tch_H2_20231229-173128_76,class_H2_20231229-173128_76,y9x2-BjUv,H2,h2pe,H
tch_L8_20240207-120256_57,class_L8_20240207-120256_57,T9D2-z27J,L8,l8pe,L
tch_L8_20240222-095725_57,class_L8_20240222-095725_57,7yAe-AoN8,L8,l8pe,L
tch_L9_20240222-095725_61,class_L9_20240222-095725_61,9B72-pZU8,L9,l9pe,L
tch_L3_20240129-115448_30,class_L3_20240129-115448_30,Mp8m-UP4y,L3,l3pe,L
tch_M5_20240207-120256_83,class_M5_20240207-120256_83,8z4N-QWrC,M5,m5pe,M
tch_L9_20240222-134031_168,class_L9_20240222-134031_168,pyD4-itop,L9,l9pe,L
tch_L9_20240207-120256_68,class_L9_20240207-120256_68,679f-ZM7D,L9,l9pe,L
tch_L1_20240129-133344_5,class_L1_20240129-133344_5,4xYF-zUB3,L1,l1pe,L
tch_L9_20240304-175551_63,class_L9_20240304-175551_63,36n9-HXGt,L9,l9pe,L
tch_M3_20240129-105848_74,class_M3_20240129-105848_74,vXwy-8dVx,M3,m3pe,M
tch_H3_20240222-134031_92,class_H3_20240222-134031_92,Q8sH-WG7e,H3,h3pe,H
tch_L1_20240129-133344_15,class_L1_20240129-133344_15,Ja7U-t7yP,L1,l1pe,L
tch_L8_20240129-105848_51,class_L8_20240129-105848_51,scVn-8C2h,L8,l8pe,L
tch_L2_20240102-192514_15,class_L2_20240102-192514_15,PAUh-8fT9,L2,l2pe,L
tch_L9_20240222-095725_60,class_L9_20240222-095725_60,oWK3-U9sE,L9,l9pe,L
tch_L1_20240129-124448_8,class_L1_20240129-124448_8,xmya-q2gb,L1,l1pe,L
tch_L7_20240129-105848_47,class_L7_20240129-105848_47,3Ges-9tjb,L7,l7pe,L
tch_H3_20240222-124507_192,class_H3_20240222-124507_192,D9wh-972F,H3,h3pe,H
tch_L8_20240222-095725_54,class_L8_20240222-095725_54,e7Bh-NYJ6,L8,l8pe,L
tch_H1_20240131-144641_85,context_class_H1_20240131-144641_85,QN4a-pMQj,H1,h1pe,H
tch_L2_20240222-095725_28,class_L2_20240222-095725_28,o6HC-4Cbr,L2,l2pe,L
tch_L7_20240222-124507_37,class_L7_20240222-124507_37,Yq79-D8W7,L7,l7pe,L
tch_H3_20240102-154640_82,class_H3_20240102-154640_82,L4TQ-sHJw,H3,h3pe,H
tch_L9_20240129-093151_66,class_L9_20240129-093151_66,ALFj-73m6,L9,l9pe,L
tch_L3_20231229-173128_24,class_L3_20231229-173128_24,47qT-8GK6,L3,l3pe,L
tch_L7_20240129-082111_36,class_L7_20240129-082111_36,tYn8-J7i2,L7,l7pe,L
tch_L1_20240222-124507_2,class_L1_20240222-124507_2,tqja-kA9i,L1,l1pe,L
tch_L8_20240129-105848_53,class_L8_20240129-105848_53,4D7y-rMf8,L8,l8pe,L
tch_L9_20240222-134031_63,class_L9_20240222-134031_63,AB9d-mvGA,L9,l9pe,L
tch_M2_20240222-134031_72,class_M2_20240222-134031_72,jxY3-9D8K,M2,m2pe,M
tch_M4_20240129-105848_80,class_M4_20240129-105848_80,3Ud7-d8rP,M4,m4pe,M
tch_L2_20240129-105848_19,class_L2_20240129-105848_19,92g6-GVcy,L2,l2pe,L
tch_M5_20240129-105848_81,class_M5_20240129-105848_81,LkL6-47eL,M5,m5pe,M
tch_L2_20240207-120256_28,class_L2_20240207-120256_28,WauL-QtKQ,L2,l2pe,L
tch_M5_20240222-095725_182,class_M5_20240222-095725_182,sNMZ-yPbP,M5,m5pe,M
tch_L2_20240304-175551_128,class_L2_20240304-175551_128,2GaA-CRFi,L2,l2pe,L
tch_M3_20240129-133344_77,class_M3_20240129-133344_77,e9Lk-fT2x,M3,m3pe,M
tch_L8_20240118-160029_57,class_L8_20240118-160029_57,367r-E629,L8,l8pe,L
tch_M2_20231229-163209_60,class_M2_20231229-163209_60,9sdp-qDKV,M2,m2pe,M
tch_L9_20240117-181958_41,class_L9_20240117-181958_41,gNkd-o2T9,L9,l9pe,L
tch_L2_20240102-154640_17,class_L2_20240102-154640_17,enGv-XFy3,L2,l2pe,L
tch_L8_20240304-175551_155,class_L8_20240304-175551_155,dcUZ-qHCg,L8,l8pe,L
tch_M2_20240222-095725_73,class_M2_20240222-095725_73,8Bok-TPDK,M2,m2pe,M
tch_L7_20240129-115448_36,class_L7_20240129-115448_36,H638-3mUv,L7,l7pe,L
tch_L1_20240222-134031_109,class_L1_20240222-134031_109,Z6Aa-2QDH,L1,l1pe,L
tch_L3_20240222-124507_30,class_L3_20240222-124507_30,P9HF-jhBt,L3,l3pe,L
tch_L3_20240222-124507_131,class_L3_20240222-124507_131,49d9-yNp2,L3,l3pe,L
tch_M4_20240129-105848_79,class_M4_20240129-105848_79,znqW-6jp3,M4,m4pe,M
tch_L9_20240129-142710_66,class_L9_20240129-142710_66,jQ4a-8CNa,L9,l9pe,L
tch_L1_20240102-154640_2,class_L1_20240102-154640_2,9nDX-jVgq,L1,l1pe,L
tch_H2_20240129-142710_90,class_H2_20240129-142710_90,Ja8k-Z9e9,H2,h2pe,H
tch_L1_20240222-095725_106,class_L1_20240222-095725_106,y3zV-y8Nh,L1,l1pe,L
tch_L7_20240304-175551_137,class_L7_20240304-175551_137,4sNE-x4g3,L7,l7pe,L
tch_L7_20240131-144641_34,context_class_L7_20240131-144641_34,BF7A-7KCE,L7,l7pe,L
tch_M1_20240222-095725_169,class_M1_20240222-095725_169,uEbW-9DsN,M1,m1pe,M
tch_M3_20240207-120256_74,class_M3_20240207-120256_74,mCNb-iMqW,M3,m3pe,M
tch_L8_20240118-160029_29,class_L8_20240118-160029_29,xaV7-v8p3,L8,l8pe,L
tch_L7_20240222-124507_40,class_L7_20240222-124507_40,YT3A-KL7U,L7,l7pe,L
tch_L3_20231229-183345_28,class_L3_20231229-183345_28,xjv9-m36q,L3,l3pe,L
tch_L7_20240119-093415_41,class_L7_20240119-093415_41,PK7C-Nxrt,L7,l7pe,L
tch_L7_20240129-115448_48,class_L7_20240129-115448_48,c6R7-g6kZ,L7,l7pe,L
tch_L9_20240131-144641_65,context_class_L9_20240131-144641_65,xw4E-fLyU,L9,l9pe,L
tch_L9_20240222-134031_167,class_L9_20240222-134031_167,b7mX-wB94,L9,l9pe,L
tch_H5_20240222-134031_98,class_H5_20240222-134031_98,L3Mc-2wp6,H5,h5pe,H
tch_L3_20240222-134031_32,class_L3_20240222-134031_32,Fu97-X8N3,L3,l3pe,L
tch_L2_20240207-120256_21,class_L2_20240207-120256_21,6z9t-6yZx,L2,l2pe,L
tch_L1_20240207-120256_14,class_L1_20240207-120256_14,H37r-QkUo,L1,l1pe,L
tch_L7_20240304-175551_138,class_L7_20240304-175551_138,6Q9G-3Uyz,L7,l7pe,L
tch_L9_20240304-175551_168,class_L9_20240304-175551_168,AaC2-q97C,L9,l9pe,L
tch_M3_20240222-134031_78,class_M3_20240222-134031_78,i7C7-h9aA,M3,m3pe,M
tch_L3_20240131-144641_33,context_class_L3_20240131-144641_33,2b94-w3i2,L3,l3pe,L
tch_L3_20231229-163209_24,class_L3_20231229-163209_24,y7Ji-8BbG,L3,l3pe,L
tch_L7_20240129-124448_48,class_L7_20240129-124448_48,97Uo-q2C6,L7,l7pe,L
tch_M3_20240129-093151_76,class_M3_20240129-093151_76,K67w-bZBt,M3,m3pe,M
tch_L7_20240129-115448_34,class_L7_20240129-115448_34,jzwE-4jRk,L7,l7pe,L
tch_L1_20240129-093151_15,class_L1_20240129-093151_15,7G93-984q,L1,l1pe,L
tch_M2_20240131-144641_71,context_class_M2_20240131-144641_71,yvMV-4YFt,M2,m2pe,M
tch_L8_20240304-175551_49,class_L8_20240304-175551_49,XUT4-A37A,L8,l8pe,L
tch_L9_20240117-181958_42,class_L9_20240117-181958_42,8cpZ-HZFe,L9,l9pe,L
tch_L9_20240129-115448_59,class_L9_20240129-115448_59,jxHT-nECc,L9,l9pe,L
tch_L8_20240118-160029_34,class_L8_20240118-160029_34,72NR-FQD2,L8,l8pe,L
tch_L8_20240222-134031_51,class_L8_20240222-134031_51,87Z3-W8uh,L8,l8pe,L
tch_L7_20240304-175551_140,class_L7_20240304-175551_140,s3Yy-eGRE,L7,l7pe,L
tch_L2_20240222-095725_22,class_L2_20240222-095725_22,j84b-87Za,L2,l2pe,L
tch_L2_20240304-175551_117,class_L2_20240304-175551_117,e36N-YbQe,L2,l2pe,L
tch_H1_20240102-154640_73,class_H1_20240102-154640_73,Ex3s-8iZ7,H1,h1pe,H
tch_L9_20240117-181958_3,class_L9_20240117-181958_3,UTHF-PJg2,L9,l9pe,L
tch_L9_20240304-175551_66,class_L9_20240304-175551_66,6EJT-gJ4s,L9,l9pe,L
tch_H5_20240207-120256_99,class_H5_20240207-120256_99,MLb8-AkwL,H5,h5pe,H
tch_H1_20231229-163209_71,class_H1_20231229-163209_71,v647-gi9o,H1,h1pe,H
tch_H1_20240222-134031_188,class_H1_20240222-134031_188,kxpn-tcqH,H1,h1pe,H
tch_M1_20240207-120256_70,class_M1_20240207-120256_70,QR83-q8M9,M1,m1pe,M
tch_H1_20240129-082111_87,class_H1_20240129-082111_87,F9k7-xkW3,H1,h1pe,H
tch_L7_20240129-082111_46,class_L7_20240129-082111_46,f6he-JqXr,L7,l7pe,L
tch_L1_20240129-093151_1,class_L1_20240129-093151_1,xrYb-2B2t,L1,l1pe,L
tch_H4_20231229-151113_87,class_H4_20231229-151113_87,hE6J-vg7A,H4,h4pe,H
tch_L9_20240131-144641_61,context_class_L9_20240131-144641_61,wQ38-BH23,L9,l9pe,L
tch_L1_20240207-120256_6,class_L1_20240207-120256_6,g96j-fx3P,L1,l1pe,L
tch_L3_20240207-120256_33,class_L3_20240207-120256_33,Bj4F-Uj87,L3,l3pe,L
tch_L7_20240119-093415_21,class_L7_20240119-093415_21,r839-K3dT,L7,l7pe,L
tch_L8_20240131-144641_49,context_class_L8_20240131-144641_49,w8Jg-8Gxy,L8,l8pe,L
tch_H1_20240129-105848_89,class_H1_20240129-105848_89,Z9Y6-3UrU,H1,h1pe,H
tch_H3_20240129-133344_96,class_H3_20240129-133344_96,4q32-bd7U,H3,h3pe,H
tch_L9_20240117-181958_4,class_L9_20240117-181958_4,72uZ-H4YV,L9,l9pe,L
tch_L1_20240222-134031_12,class_L1_20240222-134031_12,gLQE-Ghc3,L1,l1pe,L
tch_L2_20240131-144641_26,context_class_L2_20240131-144641_26,y9E6-2Pb7,L2,l2pe,L
tch_L9_20240222-095725_68,class_L9_20240222-095725_68,LVGE-Hq9p,L9,l9pe,L
tch_L2_20240222-124507_125,class_L2_20240222-124507_125,zF47-bpo4,L2,l2pe,L
tch_L2_20231229-151113_19,class_L2_20231229-151113_19,Koap-N2uG,L2,l2pe,L
tch_L2_20240102-154640_19,class_L2_20240102-154640_19,Xp8K-V2AJ,L2,l2pe,L
tch_L7_20240222-134031_41,class_L7_20240222-134031_41,x3DY-XW89,L7,l7pe,L
tch_L7_20240119-093415_1,class_L7_20240119-093415_1,TZ6C-8Zoq,L7,l7pe,L
tch_M3_20240129-115448_78,class_M3_20240129-115448_78,xtiT-KqzY,M3,m3pe,M
tch_L1_20240129-105848_10,class_L1_20240129-105848_10,DkgB-ZbuC,L1,l1pe,L
tch_L1_20240222-124507_109,class_L1_20240222-124507_109,e4qK-a6F3,L1,l1pe,L
tch_L8_20240129-093151_52,class_L8_20240129-093151_52,JqP8-6T3K,L8,l8pe,L
tch_L9_20240222-124507_161,class_L9_20240222-124507_161,XM8G-Au7T,L9,l9pe,L
tch_H3_20240102-154640_81,class_H3_20240102-154640_81,h4vM-fXG7,H3,h3pe,H
tch_H1_20231229-173128_73,class_H1_20231229-173128_73,Q3zD-ZHd6,H1,h1pe,H
tch_L2_20240129-105848_26,class_L2_20240129-105848_26,TuNo-y73y,L2,l2pe,L
tch_L2_20240129-133344_17,class_L2_20240129-133344_17,CE4U-V6Ze,L2,l2pe,L
tch_L7_20240119-093415_4,class_L7_20240119-093415_4,6gMc-9h4J,L7,l7pe,L
tch_H4_20240222-095725_197,class_H4_20240222-095725_197,Px3g-7mL9,H4,h4pe,H
tch_L9_20240222-124507_61,class_L9_20240222-124507_61,U4XH-P4Wg,L9,l9pe,L
tch_M5_20240222-134031_181,class_M5_20240222-134031_181,G2sk-7bBH,M5,m5pe,M
