teacherextuserid,classtitle,classcode,category,pe_category,pe_end_index2,category_type
tch_L2_20241120-163000_30,class_L2_20241120-163000_30,8qF3-cigK,L2,l2pe,6,L
tch_L9_20240314-180451_167,class_L9_20240314-180451_167,vYPt-4jgx,L9,l9pe,4,L
tch_L9_20240314-180451_164,class_L9_20240314-180451_164,vRyz-sEZJ,L9,l9pe,4,L
tch_L7_20240119-103128_73,class_L7_20240119-103128_73,GXLg-Vbda,L7,l7pe,4,L
tch_M4_20241120-100846_93,class_M4_20241120-100846_93,vEA2-UwJf,M4,m4pe,13,M
tch_L7_20240205-123118_48,class_L7_20240205-123118_48,6tgL-6jsf,L7,l7pe,4,L
tch_M2_20240129-153345_71,class_M2_20240129-153345_71,XCQf-6qtk,M2,m2pe,11,M
tch_L7_20240314-180451_142,class_L7_20240314-180451_142,2oPA-3sZb,L7,l7pe,4,L
tch_H1_20240204-200815_85,class_H1_20240204-200815_85,3qHD-daZs,H1,h1pe,7,H
tch_L9_20240204-200815_65,class_L9_20240204-200815_65,Jguj-36h2,L9,l9pe,4,L
tch_L8_20240314-221325_151,class_L8_20240314-221325_151,w6iu-F7N3,L8,l8pe,4,L
tch_L9_20240201-175551_62,class_L9_20240201-175551_62,octX-w8qQ,L9,l9pe,4,L
tch_L8_20240120-145701_54,class_L8_20240120-145701_54,9VFW-4mHD,L8,l8pe,4,L
tch_L9_20240117-195400_25,class_L9_20240117-195400_25,n393-k2WQ,L9,l9pe,4,L
tch_L7_20240119-103128_24,class_L7_20240119-103128_24,ksXE-Va37,L7,l7pe,4,L
tch_L2_20240131-155927_28,context_class_L2_20240131-155927_28,xhga-f8jp,L2,l2pe,6,L
tch_L2_20241120-100846_24,class_L2_20241120-100846_24,9gvA-gNWf,L2,l2pe,6,L
tch_L2_20240314-180451_19,class_L2_20240314-180451_19,e74v-hk7t,L2,l2pe,6,L
tch_L7_20241120-110934_51,class_L7_20241120-110934_51,4Y3C-hTfP,L7,l7pe,4,L
tch_H3_20240205-123118_92,class_H3_20240205-123118_92,x6ji-dMiW,H3,h3pe,9,H
tch_L8_20240130-171855_58,class_L8_20240130-171855_58,6Kbx-ux24,L8,l8pe,4,L
tch_L7_20240131-163525_35,context_class_L7_20240131-163525_35,hNA7-rhgL,L7,l7pe,4,L
tch_M4_20241121-105844_91,class_M4_20241121-105844_91,VG6z-HdM9,M4,m4pe,13,M
tch_L1_20241120-163000_17,class_L1_20241120-163000_17,z9VP-6Bc2,L1,l1pe,4,L
tch_L7_20240119-103128_110,class_L7_20240119-103128_110,v7Zm-26YC,L7,l7pe,4,L
tch_H3_20240314-221325_193,class_H3_20240314-221325_193,9agt-RAc6,H3,h3pe,9,H
tch_L3_20241120-132131_40,class_L3_20241120-132131_40,q36u-79Ba,L3,l3pe,10,L
tch_L2_20241120-110934_37,context_class_L2_20241120-110934_37,ma6Z-7mWU,L2,l2pe,6,L
tch_L7_20241120-163000_49,class_L7_20241120-163000_49,8jTD-vdmK,L7,l7pe,4,L
tch_L2_20240205-134617_19,class_L2_20240205-134617_19,hC8m-Zz4G,L2,l2pe,6,L
tch_L8_20241120-163000_67,context_class_L8_20241120-163000_67,rCL9-K2b2,L8,l8pe,4,L
tch_L7_20240131-155927_45,context_class_L7_20240131-155927_45,UxN3-oLb6,L7,l7pe,4,L
tch_H5_20240205-134617_99,class_H5_20240205-134617_99,9V64-bn8k,H5,h5pe,7,H
tch_H1_20240201-175551_86,class_H1_20240201-175551_86,vU9d-g4Ko,H1,h1pe,7,H
tch_L7_20241120-100846_49,class_L7_20241120-100846_49,3G8z-8njm,L7,l7pe,4,L
tch_H1_20240204-184707_88,class_H1_20240204-184707_88,2as4-9a7X,H1,h1pe,7,H
tch_M2_20240204-200815_72,class_M2_20240204-200815_72,9s3w-69eV,M2,m2pe,11,M
tch_L7_20240119-113354_24,class_L7_20240119-113354_24,a9c9-Nidt,L7,l7pe,4,L
tch_M2_20240131-155927_72,context_class_M2_20240131-155927_72,ac7i-o3R9,M2,m2pe,11,M
tch_L7_20240205-130713_42,class_L7_20240205-130713_42,DJDw-9DFp,L7,l7pe,4,L
tch_M2_20240103-170558_58,class_M2_20240103-170558_58,Q7RN-T2N4,M2,m2pe,11,M
tch_L1_20240204-200815_15,class_L1_20240204-200815_15,76JX-er6D,L1,l1pe,4,L
tch_L9_20240129-153345_64,class_L9_20240129-153345_64,ft3f-C3bU,L9,l9pe,4,L
tch_L2_20241120-163000_36,class_L2_20241120-163000_36,h6s7-B9m7,L2,l2pe,6,L
tch_M3_20240123-135053_24,class_M3_20240123-135053_24,g9h6-2niz,M3,m3pe,5,M
tch_L7_20240131-155927_47,context_class_L7_20240131-155927_47,qvLB-3Aty,L7,l7pe,4,L
tch_L1_20240129-153345_11,class_L1_20240129-153345_11,y8YE-hbZf,L1,l1pe,4,L
tch_L8_20240120-145701_16,class_L8_20240120-145701_16,z7Jo-X97b,L8,l8pe,4,L
tch_L8_20240120-145701_80,class_L8_20240120-145701_80,iNq7-W7d6,L8,l8pe,4,L
tch_L3_20240104-171321_30,class_L3_20240104-171321_30,T8br-DkZL,L3,l3pe,10,L
tch_L1_20241120-132131_19,class_L1_20241120-132131_19,Xoy7-cKHz,L1,l1pe,4,L
tch_L7_20240119-103128_98,class_L7_20240119-103128_98,u8d3-7nZs,L7,l7pe,4,L
tch_L1_20240105-173130_4,class_L1_20240105-173130_4,pELW-BP4y,L1,l1pe,4,L
tch_L7_20240131-152310_39,context_class_L7_20240131-152310_39,tPvY-bFmB,L7,l7pe,4,L
tch_L3_20240205-130713_30,class_L3_20240205-130713_30,89X6-Z3Pk,L3,l3pe,10,L
tch_L2_20240314-221325_116,class_L2_20240314-221325_116,L6XV-iJs3,L2,l2pe,6,L
tch_L1_20240314-195444_12,class_L1_20240314-195444_12,4M9v-zwDk,L1,l1pe,4,L
tch_L8_20240205-195628_54,class_L8_20240205-195628_54,j6Ak-dTMQ,L8,l8pe,4,L
tch_M3_20240131-155927_76,context_class_M3_20240131-155927_76,NfLA-9uFw,M3,m3pe,5,M
tch_H3_20240314-195444_95,class_H3_20240314-195444_95,27M3-bB49,H3,h3pe,9,H
tch_L9_20240314-180451_67,class_L9_20240314-180451_67,e9Xi-QH7q,L9,l9pe,4,L
tch_M2_20240314-221325_173,class_M2_20240314-221325_173,93WJ-E8a4,M2,m2pe,11,M
tch_L2_20240205-123118_23,class_L2_20240205-123118_23,7RDM-Ap82,L2,l2pe,6,L
tch_L7_20241120-163000_47,class_L7_20241120-163000_47,zv7G-hZHu,L7,l7pe,4,L
tch_L9_20240131-152310_67,context_class_L9_20240131-152310_67,kLdz-JZRX,L9,l9pe,4,L
tch_L9_20240117-195400_18,class_L9_20240117-195400_18,Cc9u-79bt,L9,l9pe,4,L
tch_L1_20240205-134617_11,class_L1_20240205-134617_11,2Qp4-qT26,L1,l1pe,4,L
tch_M5_20240204-184707_84,class_M5_20240204-184707_84,82rX-6MXD,M5,m5pe,4,M
tch_L7_20240205-134617_47,class_L7_20240205-134617_47,bYjx-9cMX,L7,l7pe,4,L
tch_M3_20241120-100846_85,class_M3_20241120-100846_85,r4r8-D6Bd,M3,m3pe,5,M
tch_L9_20240117-181958_108,class_L9_20240117-181958_108,X9XH-9j69,L9,l9pe,4,L
tch_M3_20240109-164013_61,class_M3_20240109-164013_61,wCF3-69Gs,M3,m3pe,5,M
tch_L8_20240205-195628_58,class_L8_20240205-195628_58,Eq79-aGYV,L8,l8pe,4,L
tch_L1_20241121-125401_22,context_class_L1_20241121-125401_22,BE63-E3Q9,L1,l1pe,4,L
tch_L8_20240314-180451_155,class_L8_20240314-180451_155,cD38-7v28,L8,l8pe,4,L
tch_L9_20240204-200815_64,class_L9_20240204-200815_64,RbuH-EUiu,L9,l9pe,4,L
tch_L7_20240314-195444_135,class_L7_20240314-195444_135,zMHt-gcie,L7,l7pe,4,L
tch_L2_20240205-130713_28,class_L2_20240205-130713_28,6zC4-xPd9,L2,l2pe,6,L
tch_H1_20240314-221325_188,class_H1_20240314-221325_188,WFM2-g8XR,H1,h1pe,7,H
tch_M2_20240314-221325_172,class_M2_20240314-221325_172,ETzD-U68q,M2,m2pe,11,M
tch_M4_20240314-221325_80,class_M4_20240314-221325_80,8Dwu-82J4,M4,m4pe,13,M
tch_L7_20240314-195444_136,class_L7_20240314-195444_136,v2bK-D7mM,L7,l7pe,4,L
tch_M2_20240201-175551_71,class_M2_20240201-175551_71,pvoe-9ZnM,M2,m2pe,11,M
tch_L1_20240131-155927_11,context_class_L1_20240131-155927_11,w48C-Qf38,L1,l1pe,4,L
tch_L2_20240314-195444_128,class_L2_20240314-195444_128,KfWT-gLA3,L2,l2pe,6,L
tch_L1_20241120-110934_18,class_L1_20241120-110934_18,fc8q-R3ma,L1,l1pe,4,L
tch_L7_20240130-171855_40,class_L7_20240130-171855_40,Bjiw-8xcV,L7,l7pe,4,L
tch_L1_20240131-155927_5,context_class_L1_20240131-155927_5,FkTa-ETgd,L1,l1pe,4,L
tch_L9_20240201-175551_68,class_L9_20240201-175551_68,2jh6-ct4G,L9,l9pe,4,L
tch_L1_20240314-195444_1,class_L1_20240314-195444_1,v3YJ-8p7A,L1,l1pe,4,L
tch_H3_20240201-175551_96,class_H3_20240201-175551_96,oRnh-cXGP,H3,h3pe,9,H
tch_L9_20240117-195400_17,class_L9_20240117-195400_17,tEUu-6c96,L9,l9pe,4,L
tch_L7_20240314-221325_46,class_L7_20240314-221325_46,pau7-RjyB,L7,l7pe,4,L
tch_L7_20240205-134617_48,class_L7_20240205-134617_48,gvm2-oj76,L7,l7pe,4,L
tch_L1_20240130-171855_13,class_L1_20240130-171855_13,46k3-dK4e,L1,l1pe,4,L
tch_L8_20240120-145701_66,class_L8_20240120-145701_66,i4hT-Qr9H,L8,l8pe,4,L
tch_H5_20240130-090904_98,class_H5_20240130-090904_98,86gm-NytR,H5,h5pe,7,H
tch_L9_20240205-130713_66,class_L9_20240205-130713_66,4Ah7-XjQ9,L9,l9pe,4,L
tch_L2_20240131-163525_24,context_class_L2_20240131-163525_24,vQWs-ExTs,L2,l2pe,6,L
tch_L7_20240119-103128_109,class_L7_20240119-103128_109,4Uvg-Et47,L7,l7pe,4,L
tch_L8_20240131-163525_49,context_class_L8_20240131-163525_49,9FEF-Mk42,L8,l8pe,4,L
tch_L9_20240117-195400_60,class_L9_20240117-195400_60,Cox2-h9Vw,L9,l9pe,4,L
tch_L3_20240204-200815_33,class_L3_20240204-200815_33,i64X-26vA,L3,l3pe,10,L
tch_L1_20240130-171855_9,class_L1_20240130-171855_9,w6u4-34QH,L1,l1pe,4,L
tch_L1_20240314-180451_9,class_L1_20240314-180451_9,yve2-RA4g,L1,l1pe,4,L
tch_L8_20240314-180451_51,class_L8_20240314-180451_51,oh2c-E9uV,L8,l8pe,4,L
tch_L3_20240201-175551_31,class_L3_20240201-175551_31,76rs-W9H6,L3,l3pe,10,L
tch_L8_20240314-221325_55,class_L8_20240314-221325_55,iMwP-2372,L8,l8pe,4,L
tch_H3_20240130-090904_94,class_H3_20240130-090904_94,6K4P-qC72,H3,h3pe,9,H
tch_H4_20240314-195444_97,class_H4_20240314-195444_97,2r4n-bNqh,H4,h4pe,10,H
tch_L9_20240130-171855_64,class_L9_20240130-171855_64,23MX-8VhA,L9,l9pe,4,L
tch_H1_20240130-171855_88,class_H1_20240130-171855_88,pUwt-X48Q,H1,h1pe,7,H
tch_M3_20240105-173130_63,class_M3_20240105-173130_63,43MB-sAYu,M3,m3pe,5,M
tch_H1_20241120-163000_4,class_H1_20241120-163000_4,oBv2-a7B9,H1,h1pe,7,H
tch_L1_20240314-221325_7,class_L1_20240314-221325_7,Ec2i-QKz7,L1,l1pe,4,L
tch_L8_20241120-110934_67,context_class_L8_20241120-110934_67,Zf3P-kqgz,L8,l8pe,4,L
tch_L7_20240119-103128_31,class_L7_20240119-103128_31,DKRZ-h3ta,L7,l7pe,4,L
tch_L1_20241121-105844_22,context_class_L1_20241121-105844_22,Xktz-grgv,L1,l1pe,4,L
tch_L7_20241121-105844_49,class_L7_20241121-105844_49,bgZG-243M,L7,l7pe,4,L
tch_L1_20240105-183209_4,class_L1_20240105-183209_4,L3zt-JBE8,L1,l1pe,4,L
tch_H3_20240129-153345_96,class_H3_20240129-153345_96,EgMn-z3s9,H3,h3pe,9,H
tch_L2_20241120-132131_30,class_L2_20241120-132131_30,6W9N-689L,L2,l2pe,6,L
tch_M3_20240314-221325_78,class_M3_20240314-221325_78,w9jm-er4p,M3,m3pe,5,M
tch_L1_20241120-132131_17,class_L1_20241120-132131_17,B27B-u2t7,L1,l1pe,4,L
tch_L8_20241121-105844_61,class_L8_20241121-105844_61,HEr9-J4nA,L8,l8pe,4,L
tch_H3_20240205-195628_93,class_H3_20240205-195628_93,3PL9-ck6B,H3,h3pe,9,H
tch_L1_20240314-195444_5,class_L1_20240314-195444_5,9c7j-YHsR,L1,l1pe,4,L
tch_M4_20240102-192514_70,class_M4_20240102-192514_70,N7q6-4HRZ,M4,m4pe,13,M
tch_L1_20240131-155927_1,context_class_L1_20240131-155927_1,N7J4-hmPD,L1,l1pe,4,L
tch_L9_20240131-163525_63,context_class_L9_20240131-163525_63,ji7p-dYaL,L9,l9pe,4,L
tch_M5_20241120-110934_99,class_M5_20241120-110934_99,bn4W-3yoc,M5,m5pe,4,M
tch_L2_20240204-184707_17,class_L2_20240204-184707_17,W2cy-9zGj,L2,l2pe,6,L
tch_L1_20241120-110934_20,class_L1_20241120-110934_20,W3vk-7byp,L1,l1pe,4,L
tch_L7_20240129-153345_35,class_L7_20240129-153345_35,QA9V-LX26,L7,l7pe,4,L
tch_M5_20240204-184707_82,class_M5_20240204-184707_82,u927-m7i2,M5,m5pe,4,M
tch_L8_20241121-105844_59,class_L8_20241121-105844_59,oz7Y-s9Vi,L8,l8pe,4,L
tch_L8_20240201-175551_52,class_L8_20240201-175551_52,hpkR-HFD4,L8,l8pe,4,L
tch_M1_20240201-175551_70,class_M1_20240201-175551_70,42KV-vKZ2,M1,m1pe,11,M
tch_M2_20240105-161058_57,class_M2_20240105-161058_57,hdug-U7Yc,M2,m2pe,11,M
tch_H3_20240205-130713_94,class_H3_20240205-130713_94,bsV6-FGBg,H3,h3pe,9,H
tch_L3_20240129-153345_29,class_L3_20240129-153345_29,sbsU-szey,L3,l3pe,10,L
tch_L2_20240205-134617_17,class_L2_20240205-134617_17,r3tz-Apqs,L2,l2pe,6,L
tch_L3_20240130-171855_29,class_L3_20240130-171855_29,CrZy-fJXW,L3,l3pe,10,L
tch_H5_20240314-195444_198,class_H5_20240314-195444_198,HXU6-oNDc,H5,h5pe,7,H
tch_L1_20241120-132131_13,class_L1_20241120-132131_13,uKz3-hTu4,L1,l1pe,4,L
tch_L1_20240201-175551_10,class_L1_20240201-175551_10,JX74-PHA7,L1,l1pe,4,L
tch_H1_20241120-132131_3,class_H1_20241120-132131_3,zmxu-YaUy,H1,h1pe,7,H
tch_L7_20240119-103128_44,class_L7_20240119-103128_44,fLC6-s6Ky,L7,l7pe,4,L
tch_L9_20240205-134617_68,class_L9_20240205-134617_68,3zbr-74eg,L9,l9pe,4,L
tch_L9_20241120-100846_69,class_L9_20241120-100846_69,NQ7a-Ex9K,L9,l9pe,4,L
tch_L7_20240205-195628_38,class_L7_20240205-195628_38,e6nc-RKsn,L7,l7pe,4,L
tch_L1_20240204-184707_15,class_L1_20240204-184707_15,BhfX-jzV2,L1,l1pe,4,L
tch_L9_20240131-163525_61,context_class_L9_20240131-163525_61,njkB-EYho,L9,l9pe,4,L
tch_H5_20240314-180451_99,class_H5_20240314-180451_99,PhJt-m28p,H5,h5pe,7,H
tch_M1_20240102-154640_54,class_M1_20240102-154640_54,Pxps-Txts,M1,m1pe,11,M
tch_M3_20240102-192514_65,class_M3_20240102-192514_65,C87R-873L,M3,m3pe,5,M
tch_M3_20240205-130713_76,class_M3_20240205-130713_76,rYsf-a3hD,M3,m3pe,5,M
tch_L7_20240204-184707_36,class_L7_20240204-184707_36,JEey-c6CT,L7,l7pe,4,L
tch_M4_20240104-161036_67,class_M4_20240104-161036_67,s79z-8XT6,M4,m4pe,13,M
tch_L9_20240117-195400_39,class_L9_20240117-195400_39,LM3g-d2re,L9,l9pe,4,L
tch_L1_20240314-195444_105,class_L1_20240314-195444_105,d4Y9-2n2B,L1,l1pe,4,L
tch_H2_20240314-221325_190,class_H2_20240314-221325_190,u4H2-y9nh,H2,h2pe,17,H
tch_L7_20241121-105844_47,class_L7_20241121-105844_47,JRgs-8UWY,L7,l7pe,4,L
tch_H4_20240131-155927_97,context_class_H4_20240131-155927_97,ZDw9-X8Ja,H4,h4pe,10,H
tch_L2_20240201-175551_28,class_L2_20240201-175551_28,9282-m74U,L2,l2pe,6,L
tch_L8_20240205-195628_50,class_L8_20240205-195628_50,6QLk-E3nv,L8,l8pe,4,L
tch_L2_20240131-155927_21,context_class_L2_20240131-155927_21,CGeJ-yHEc,L2,l2pe,6,L
tch_L7_20241120-110934_50,class_L7_20241120-110934_50,uNmF-yNmc,L7,l7pe,4,L
tch_L8_20240204-200815_52,class_L8_20240204-200815_52,Q8jd-WYwx,L8,l8pe,4,L
tch_H1_20240201-175551_87,class_H1_20240201-175551_87,HF6Q-iksg,H1,h1pe,7,H
tch_L1_20240205-123118_8,class_L1_20240205-123118_8,9Km6-9vdR,L1,l1pe,4,L
tch_L8_20241121-105844_60,class_L8_20241121-105844_60,37n3-ZR97,L8,l8pe,4,L
tch_L7_20240131-155927_34,context_class_L7_20240131-155927_34,g7Em-3k7Y,L7,l7pe,4,L
tch_L1_20240314-195444_10,class_L1_20240314-195444_10,EsCQ-7kAz,L1,l1pe,4,L
tch_L1_20240314-195444_102,class_L1_20240314-195444_102,Eqmu-t6f7,L1,l1pe,4,L
tch_L7_20240119-113354_26,class_L7_20240119-113354_26,4eW9-A7y2,L7,l7pe,4,L
tch_L8_20240205-130713_51,class_L8_20240205-130713_51,3i8W-b78v,L8,l8pe,4,L
tch_M3_20240131-152310_75,context_class_M3_20240131-152310_75,Crt7-9a4T,M3,m3pe,5,M
tch_L7_20240204-200815_42,class_L7_20240204-200815_42,93VN-84E7,L7,l7pe,4,L
tch_M5_20241120-100846_95,class_M5_20241120-100846_95,uK73-aXcy,M5,m5pe,4,M
tch_M3_20240131-163525_76,context_class_M3_20240131-163525_76,48WE-wxo6,M3,m3pe,5,M
tch_L7_20241121-105844_43,class_L7_20241121-105844_43,dE42-Z6rm,L7,l7pe,4,L
tch_H4_20240205-123118_97,class_H4_20240205-123118_97,ocDY-Cz7R,H4,h4pe,10,H
tch_M2_20240105-161058_59,class_M2_20240105-161058_59,974i-Z8j7,M2,m2pe,11,M
tch_M1_20241120-100846_78,class_M1_20241120-100846_78,h7pm-kf28,M1,m1pe,11,M
tch_L2_20241120-163000_24,class_L2_20241120-163000_24,u3Y8-HQjF,L2,l2pe,6,L
tch_L9_20240201-175551_65,class_L9_20240201-175551_65,4u9X-8e6b,L9,l9pe,4,L
tch_M5_20240205-130713_81,class_M5_20240205-130713_81,perH-ey83,M5,m5pe,4,M
tch_L7_20241120-132131_48,class_L7_20241120-132131_48,zwbZ-Ge39,L7,l7pe,4,L
tch_H4_20240130-090904_97,class_H4_20240130-090904_97,Wn4N-vBji,H4,h4pe,10,H
tch_L7_20240201-175551_45,class_L7_20240201-175551_45,W94Q-2xuP,L7,l7pe,4,L
tch_L8_20241120-163000_58,class_L8_20241120-163000_58,dm3v-m7Nv,L8,l8pe,4,L
tch_L9_20240117-181958_103,class_L9_20240117-181958_103,FPVP-Lz2t,L9,l9pe,4,L
tch_L2_20240201-175551_20,class_L2_20240201-175551_20,m7Jt-wzsu,L2,l2pe,6,L
tch_L2_20240205-123118_21,class_L2_20240205-123118_21,4e3i-wCBN,L2,l2pe,6,L
tch_L7_20240119-113354_31,class_L7_20240119-113354_31,neD7-N4F9,L7,l7pe,4,L
tch_L8_20240131-152310_56,context_class_L8_20240131-152310_56,L9Ya-kJEY,L8,l8pe,4,L
tch_L2_20241120-100846_26,class_L2_20241120-100846_26,e6zM-28Y9,L2,l2pe,6,L
tch_H1_20240204-184707_85,class_H1_20240204-184707_85,2aHE-G24q,H1,h1pe,7,H
tch_L2_20241121-105844_23,class_L2_20241121-105844_23,Fc4m-72Ak,L2,l2pe,6,L
tch_M5_20241121-105844_94,class_M5_20241121-105844_94,U9qG-Nn67,M5,m5pe,4,M
tch_H2_20240131-155927_91,context_class_H2_20240131-155927_91,tmrP-8z6j,H2,h2pe,17,H
tch_L3_20240131-155927_32,context_class_L3_20240131-155927_32,AcnR-VRpd,L3,l3pe,10,L
tch_L3_20241120-100846_41,class_L3_20241120-100846_41,Q8m2-6VtF,L3,l3pe,10,L
tch_L2_20241120-110934_29,class_L2_20241120-110934_29,4i27-J32N,L2,l2pe,6,L
tch_L9_20240205-123118_62,class_L9_20240205-123118_62,6Vf2-gRgK,L9,l9pe,4,L
tch_L1_20241120-163000_15,class_L1_20241120-163000_15,93ju-ku68,L1,l1pe,4,L
tch_M5_20241120-110934_97,class_M5_20241120-110934_97,NJqu-8pC2,M5,m5pe,4,M
tch_M3_20241120-163000_89,class_M3_20241120-163000_89,J2Gc-7LEG,M3,m3pe,5,M
tch_L9_20240314-195444_64,class_L9_20240314-195444_64,ZkX3-rN7U,L9,l9pe,4,L
tch_L1_20240131-163525_15,context_class_L1_20240131-163525_15,93bL-VjMj,L1,l1pe,4,L
tch_L9_20240314-221325_161,class_L9_20240314-221325_161,c8ZY-eoju,L9,l9pe,4,L
tch_H3_20240205-130713_96,class_H3_20240205-130713_96,jeQ8-Yzyi,H3,h3pe,9,H
tch_L3_20240205-195628_31,class_L3_20240205-195628_31,Kigy-2KNt,L3,l3pe,10,L
tch_L1_20240131-163525_12,context_class_L1_20240131-163525_12,N2A7-ztv9,L1,l1pe,4,L
tch_L1_20240201-175551_1,class_L1_20240201-175551_1,9VC7-R8ZC,L1,l1pe,4,L
tch_L7_20240314-195444_137,class_L7_20240314-195444_137,9Ao2-8Pi6,L7,l7pe,4,L
tch_L7_20240119-113354_36,class_L7_20240119-113354_36,Ar36-PX9z,L7,l7pe,4,L
tch_L3_20240131-155927_31,context_class_L3_20240131-155927_31,Tv4t-34yb,L3,l3pe,10,L
tch_L3_20240204-184707_33,class_L3_20240204-184707_33,9n3X-M4nH,L3,l3pe,10,L
tch_L8_20240205-195628_56,class_L8_20240205-195628_56,PHu4-29zY,L8,l8pe,4,L
tch_L2_20240314-180451_116,class_L2_20240314-180451_116,cpRD-czDT,L2,l2pe,6,L
tch_L8_20241120-163000_60,class_L8_20241120-163000_60,vZQq-mJ4n,L8,l8pe,4,L
tch_L7_20240314-195444_144,class_L7_20240314-195444_144,Veop-4nvW,L7,l7pe,4,L
tch_L2_20240129-153345_16,class_L2_20240129-153345_16,8Lyj-E248,L2,l2pe,6,L
tch_L2_20240105-151148_20,class_L2_20240105-151148_20,u9wF-VhN6,L2,l2pe,6,L
tch_M2_20240130-171855_71,class_M2_20240130-171855_71,nQ92-4HWR,M2,m2pe,11,M
tch_M5_20241120-132131_95,class_M5_20241120-132131_95,79JT-6EWk,M5,m5pe,4,M
tch_L3_20240314-195444_130,class_L3_20240314-195444_130,Tovd-4JBj,L3,l3pe,10,L
tch_L1_20240314-221325_114,class_L1_20240314-221325_114,ANTU-B29m,L1,l1pe,4,L
tch_M1_20241121-105844_80,class_M1_20241121-105844_80,EWKr-H7f8,M1,m1pe,11,M
tch_L1_20241120-132131_20,class_L1_20241120-132131_20,GL6u-t8WM,L1,l1pe,4,L
tch_L9_20240131-155927_62,context_class_L9_20240131-155927_62,2Jq6-48dV,L9,l9pe,4,L
tch_L1_20240129-153345_15,class_L1_20240129-153345_15,2p97-284a,L1,l1pe,4,L
tch_L7_20240131-155927_39,context_class_L7_20240131-155927_39,7ksg-Fv4v,L7,l7pe,4,L
tch_L2_20241120-163000_25,class_L2_20241120-163000_25,cGH3-o96N,L2,l2pe,6,L
tch_L9_20241121-105844_69,class_L9_20241121-105844_69,3W4L-xw8d,L9,l9pe,4,L
tch_L7_20240314-195444_37,class_L7_20240314-195444_37,28rQ-sd4b,L7,l7pe,4,L
tch_L7_20240204-200815_46,class_L7_20240204-200815_46,HxHP-37CN,L7,l7pe,4,L
tch_L3_20240314-221325_129,class_L3_20240314-221325_129,b8te-PUGM,L3,l3pe,10,L
tch_L1_20241121-125401_14,class_L1_20241121-125401_14,6psg-u3Gg,L1,l1pe,4,L
tch_L2_20241120-100846_27,class_L2_20241120-100846_27,k989-89Ck,L2,l2pe,6,L
tch_L7_20241120-110934_45,class_L7_20241120-110934_45,9Xcx-VZ7w,L7,l7pe,4,L
tch_M3_20240109-122144_64,class_M3_20240109-122144_64,pm23-74WY,M3,m3pe,5,M
tch_L8_20241120-110934_64,class_L8_20241120-110934_64,cQ2E-37TE,L8,l8pe,4,L
tch_H1_20240201-175551_89,class_H1_20240201-175551_89,3p68-HLPa,H1,h1pe,7,H
tch_M5_20241120-132131_94,class_M5_20241120-132131_94,FezX-fbZM,M5,m5pe,4,M
tch_M4_20240204-200815_80,class_M4_20240204-200815_80,9Kzb-gUkd,M4,m4pe,13,M
tch_L1_20240205-134617_2,class_L1_20240205-134617_2,du47-CZ6k,L1,l1pe,4,L
tch_L7_20240131-163525_42,context_class_L7_20240131-163525_42,4Hte-niPD,L7,l7pe,4,L
tch_L2_20240314-195444_25,class_L2_20240314-195444_25,9H2w-2QK8,L2,l2pe,6,L
tch_H2_20240205-195628_90,class_H2_20240205-195628_90,RbfU-dTu4,H2,h2pe,17,H
tch_L9_20240130-171855_59,class_L9_20240130-171855_59,8e7m-bvF2,L9,l9pe,4,L
tch_L1_20240131-155927_3,context_class_L1_20240131-155927_3,4syD-47yU,L1,l1pe,4,L
tch_L3_20240204-200815_29,class_L3_20240204-200815_29,speG-gao2,L3,l3pe,10,L
tch_L2_20240314-180451_127,class_L2_20240314-180451_127,Y6fT-HDU2,L2,l2pe,6,L
tch_L1_20241121-105844_8,class_L1_20241121-105844_8,iPaA-3Gih,L1,l1pe,4,L
tch_H2_20240205-130713_90,class_H2_20240205-130713_90,VPmu-PBid,H2,h2pe,17,H
tch_M5_20241121-105844_95,class_M5_20241121-105844_95,sbQA-Mcta,M5,m5pe,4,M
tch_L1_20240131-163525_10,context_class_L1_20240131-163525_10,fJVK-97dN,L1,l1pe,4,L
tch_M5_20240205-195628_83,class_M5_20240205-195628_83,B8ZH-zok7,M5,m5pe,4,M
tch_L1_20241120-163000_13,class_L1_20241120-163000_13,GN9c-4D78,L1,l1pe,4,L
tch_M5_20241120-110934_98,class_M5_20241120-110934_98,uy9F-gekn,M5,m5pe,4,M
tch_L7_20240314-180451_34,class_L7_20240314-180451_34,9t4W-tL26,L7,l7pe,4,L
tch_L9_20240204-184707_65,class_L9_20240204-184707_65,Qz9M-4uPq,L9,l9pe,4,L
tch_L1_20241120-132131_18,class_L1_20241120-132131_18,fabE-VGjB,L1,l1pe,4,L
tch_M1_20240130-171855_70,class_M1_20240130-171855_70,96tZ-mMy3,M1,m1pe,11,M
tch_L2_20240131-155927_26,context_class_L2_20240131-155927_26,wLW9-4vgB,L2,l2pe,6,L
tch_L7_20240130-171855_45,class_L7_20240130-171855_45,He7Q-fBPU,L7,l7pe,4,L
tch_L7_20240119-103128_83,class_L7_20240119-103128_83,9HXF-LtQo,L7,l7pe,4,L
tch_L8_20240205-130713_50,class_L8_20240205-130713_50,4Heh-nd2F,L8,l8pe,4,L
tch_L1_20241120-132131_22,context_class_L1_20241120-132131_22,aB4v-i9Bv,L1,l1pe,4,L
tch_L7_20240119-103128_86,class_L7_20240119-103128_86,T6ia-eLpv,L7,l7pe,4,L
