extuserid,classcode,noOfBundles
std_1660885248727_49,PuEP-ZVsA,4
std_1660883322562_15,2B4K-Yvdn,3
std_1660885182123_43,kJmk-XG2m,4
std_1660883703470_23,QBuB-Eh3C,3
std_1660882447753_1,fq4E-9dAc,2
std_1660884489766_36,jyo4-63Um,3
std_1660883379902_15,2B4K-Yvdn,3
std_1660882595389_2,6Grc-G9Bo,2
std_1660884692208_39,8ctj-tX86,3
std_1660885173643_45,9wWR-ixsu,4
std_1660883514679_15,2B4K-Yvdn,3
std_1660882872338_9,bnWn-2Cqn,2
std_1660883968346_25,h2s9-37Us,3
std_1660883600744_20,D2y8-my69,3
std_1660884386787_31,4w49-HRC8,3
std_1660883112361_11,dNtF-bp2z,2
std_1660882894561_8,vj4d-HJcx,2
std_1660885184673_47,pFtZ-7Fy7,4
std_1660884268544_31,4w49-HRC8,3
std_1660884881155_42,puCp-yro9,4
std_1660883665510_22,zBDU-WfDm,3
std_1660882778523_4,ZNuj-BHy3,2
std_1660884849723_38,Fs3p-bkf7,4
std_1660884806011_41,7BH4-fhL4,4
std_1660882691756_5,m6af-g7X3,2
std_1660884623956_34,Dw47-9u32,3
std_1660882576401_3,2s4K-dguV,2
std_1660885403048_50,bqLU-7c8T,4
std_1660885325391_50,bqLU-7c8T,4
std_1660883229758_12,42Me-82U8,2
std_1660884562184_35,YphM-6YU4,3
std_1660883383018_13,9LPA-VP2Q,3
std_1660882413360_1,fq4E-9dAc,2
std_1660885041534_40,pL4j-p8Hk,4
std_1660884286643_32,HGHj-CT4w,3
std_1660885295540_46,9kZc-F36D,4
std_1660884932799_43,kJmk-XG2m,4
std_1660883528907_18,8ehN-698d,3
std_1660882919052_6,aJVR-HU63,2
std_1660883430189_14,A4kF-sLaC,3
std_1660884691471_37,4gG8-7Myv,3
std_1660884071546_28,zDf9-qZXb,3
std_1660883617389_19,2R3G-3B6a,3
std_1660885352287_49,PuEP-ZVsA,4
std_1660882978407_8,vj4d-HJcx,2
std_1660883775307_23,QBuB-Eh3C,3
std_1660882831081_5,m6af-g7X3,2
std_1660884174714_30,crUG-BRqV,3
std_1660884864947_41,7BH4-fhL4,4
std_1660884362994_30,crUG-BRqV,3
std_1660883982510_23,QBuB-Eh3C,3
std_1660883640335_22,zBDU-WfDm,3
std_1660885301594_49,PuEP-ZVsA,4
std_1660884232722_31,4w49-HRC8,3
std_1660884973934_40,pL4j-p8Hk,4
std_1660885331960_46,9kZc-F36D,4
std_1660884921540_43,kJmk-XG2m,4
std_1660882923742_7,Xq3g-73UJ,2
std_1660885532813_50,bqLU-7c8T,4
std_1660883606038_17,MF84-7mhV,3
std_1660884173618_27,YCsK-m9VZ,3
std_1660882715062_6,aJVR-HU63,2
std_1660883226713_15,2B4K-Yvdn,2
std_1660884676472_39,8ctj-tX86,3
std_1660882805871_8,vj4d-HJcx,2
std_1660884246454_29,L8rp-9VHh,3
std_1660884573353_36,jyo4-63Um,3
std_1660882971891_7,Xq3g-73UJ,2
std_1660883499983_17,MF84-7mhV,3
std_1660883174480_13,9LPA-VP2Q,2
std_1660883468550_17,MF84-7mhV,3
std_1660885219035_44,jJ97-vzig,4
std_1660883282498_16,f6q3-8264,3
std_1660883211818_13,9LPA-VP2Q,2
std_1660885262592_46,9kZc-F36D,4
std_1660883800730_24,BcBm-8t9M,3
std_1660885077730_45,9wWR-ixsu,4
std_1660883002558_11,dNtF-bp2z,2
std_1660885170511_44,jJ97-vzig,4
std_1660884465585_32,HGHj-CT4w,3
std_1660884726187_38,Fs3p-bkf7,3
std_1660885499945_48,dp8p-4REB,4
std_1660882746805_4,ZNuj-BHy3,2
std_1660882573352_1,fq4E-9dAc,2
std_1660883783205_24,BcBm-8t9M,3
std_1660884611361_38,Fs3p-bkf7,3
std_1660882851721_8,vj4d-HJcx,2
std_1660883195141_14,A4kF-sLaC,2
std_1660884064924_25,h2s9-37Us,3
std_1660885578395_50,bqLU-7c8T,4
std_1660883785513_21,PrKb-p7bR,3
std_1660884647184_39,8ctj-tX86,3
std_1660884314392_32,HGHj-CT4w,3
std_1660883889583_26,zV2x-eA7K,3
std_1660885115663_46,9kZc-F36D,4
std_1660885378326_49,PuEP-ZVsA,4
std_1660883101483_8,vj4d-HJcx,2
std_1660883950163_23,QBuB-Eh3C,3
std_1660885342868_47,pFtZ-7Fy7,4
std_1660883239393_15,2B4K-Yvdn,2
std_1660884317890_29,L8rp-9VHh,3
std_1660884724386_39,8ctj-tX86,3
std_1660882771676_3,2s4K-dguV,2
std_1660882849325_4,ZNuj-BHy3,2
std_1660884674923_38,Fs3p-bkf7,3
std_1660884113237_28,zDf9-qZXb,3
std_1660883270786_11,dNtF-bp2z,3
std_1660882749933_7,Xq3g-73UJ,2
std_1660884813385_39,8ctj-tX86,4
std_1660884156103_26,zV2x-eA7K,3
std_1660883620872_18,8ehN-698d,3
std_1660884216900_28,zDf9-qZXb,3
std_1660884765233_36,jyo4-63Um,4
std_1660882520059_2,6Grc-G9Bo,2
std_1660884848642_41,7BH4-fhL4,4
std_1660884503949_36,jyo4-63Um,3
std_1660883147542_9,bnWn-2Cqn,2
std_1660884107358_26,zV2x-eA7K,3
std_1660884671319_37,4gG8-7Myv,3
std_1660885467936_49,PuEP-ZVsA,4
std_1660885393583_49,PuEP-ZVsA,4
std_1660883818815_22,zBDU-WfDm,3
std_1660884621850_37,4gG8-7Myv,3
std_1660884914770_41,7BH4-fhL4,4
std_1660884990423_41,7BH4-fhL4,4
std_1660883575121_16,f6q3-8264,3
std_1660883398114_14,A4kF-sLaC,3
std_1660884707269_38,Fs3p-bkf7,3
std_1660884946830_43,kJmk-XG2m,4
std_1660884993073_40,pL4j-p8Hk,4
std_1660884284254_31,4w49-HRC8,3
std_1660883441040_15,2B4K-Yvdn,3
std_1660883863223_23,QBuB-Eh3C,3
std_1660884048506_26,zV2x-eA7K,3
std_1660885162358_43,kJmk-XG2m,4
std_1660883286956_12,42Me-82U8,3
std_1660883368803_15,2B4K-Yvdn,3
std_1660883981171_26,zV2x-eA7K,3
std_1660885103751_43,kJmk-XG2m,4
std_1660882939509_7,Xq3g-73UJ,2
std_1660884272400_28,zDf9-qZXb,3
std_1660883093859_11,dNtF-bp2z,2
std_1660884212621_27,YCsK-m9VZ,3
std_1660885095779_46,9kZc-F36D,4
std_1660882593492_4,ZNuj-BHy3,2
std_1660884114022_25,h2s9-37Us,3
std_1660884504966_35,YphM-6YU4,3
std_1660883592099_18,8ehN-698d,3
std_1660883064676_9,bnWn-2Cqn,2
std_1660882551841_2,6Grc-G9Bo,2
std_1660883738276_21,PrKb-p7bR,3
std_1660883460095_16,f6q3-8264,3
std_1660884498208_32,HGHj-CT4w,3
std_1660883294439_16,f6q3-8264,3
std_1660884332668_31,4w49-HRC8,3
std_1660883654773_20,D2y8-my69,3
std_1660883583116_19,2R3G-3B6a,3
std_1660882526628_1,fq4E-9dAc,2
std_1660884732182_40,pL4j-p8Hk,3
std_1660882691508_4,ZNuj-BHy3,2
std_1660882553885_1,fq4E-9dAc,2
std_1660883778342_20,D2y8-my69,3
std_1660885373865_50,bqLU-7c8T,4
std_1660884335073_29,L8rp-9VHh,3
std_1660883994870_26,zV2x-eA7K,3
std_1660884515531_36,jyo4-63Um,3
std_1660883968600_22,zBDU-WfDm,3
std_1660885434439_50,bqLU-7c8T,4
std_1660884379329_33,YEPr-gZbZ,3
std_1660884927909_42,puCp-yro9,4
std_1660882864243_8,vj4d-HJcx,2
std_1660884221793_31,4w49-HRC8,3
std_1660885355893_47,pFtZ-7Fy7,4
std_1660884519099_35,YphM-6YU4,3
std_1660883925280_25,h2s9-37Us,3
std_1660882644700_3,2s4K-dguV,2
std_1660884546893_34,Dw47-9u32,3
std_1660882682375_3,2s4K-dguV,2
std_1660882957154_6,aJVR-HU63,2
std_1660883789775_22,zBDU-WfDm,3
std_1660882747720_5,m6af-g7X3,2
std_1660884997758_42,puCp-yro9,4
std_1660882838155_8,vj4d-HJcx,2
std_1660885446424_50,bqLU-7c8T,4
std_1660884096210_27,YCsK-m9VZ,3
std_1660883140923_13,9LPA-VP2Q,2
std_1660885363262_46,9kZc-F36D,4
std_1660885119081_43,kJmk-XG2m,4
std_1660885125003_44,jJ97-vzig,4
std_1660884829369_42,puCp-yro9,4
std_1660885351908_46,9kZc-F36D,4
std_1660885202796_43,kJmk-XG2m,4
std_1660884623326_38,Fs3p-bkf7,3
std_1660885198522_44,jJ97-vzig,4
std_1660884283912_33,YEPr-gZbZ,3
std_1660883572606_18,8ehN-698d,3
std_1660885138537_45,9wWR-ixsu,4
std_1660884898770_39,8ctj-tX86,4
std_1660883932411_23,QBuB-Eh3C,3
std_1660883724073_23,QBuB-Eh3C,3
std_1660883599726_19,2R3G-3B6a,3
std_1660885242910_45,9wWR-ixsu,4
std_1660883413600_16,f6q3-8264,3
std_1660884305009_29,L8rp-9VHh,3
std_1660885420346_50,bqLU-7c8T,4
std_1660883542817_17,MF84-7mhV,3
std_1660885331718_45,9wWR-ixsu,4
std_1660884126248_28,zDf9-qZXb,3
std_1660883297408_13,9LPA-VP2Q,3
std_1660883909257_22,zBDU-WfDm,3
std_1660883289226_11,dNtF-bp2z,3
std_1660882555248_4,ZNuj-BHy3,2
std_1660883046320_7,Xq3g-73UJ,2
std_1660883522675_20,D2y8-my69,3
std_1660883158962_10,o3nU-Gav9,2
std_1660883920558_26,zV2x-eA7K,3
std_1660885184361_44,jJ97-vzig,4
std_1660884565548_37,4gG8-7Myv,3
std_1660882816123_4,ZNuj-BHy3,2
std_1660884616799_36,jyo4-63Um,3
std_1660883686218_18,8ehN-698d,3
std_1660884578999_34,Dw47-9u32,3
std_1660883100024_12,42Me-82U8,2
std_1660885474519_48,dp8p-4REB,4
std_1660885159870_46,9kZc-F36D,4
std_1660885275611_46,9kZc-F36D,4
std_1660883497252_15,2B4K-Yvdn,3
std_1660883428789_13,9LPA-VP2Q,3
std_1660884429472_31,4w49-HRC8,3
std_1660883664013_19,2R3G-3B6a,3
std_1660883653244_19,2R3G-3B6a,3
std_1660883022598_9,bnWn-2Cqn,2
std_1660884959342_40,pL4j-p8Hk,4
std_1660883412696_18,8ehN-698d,3
std_1660882507539_1,fq4E-9dAc,2
std_1660883165994_9,bnWn-2Cqn,2
std_1660883948503_22,zBDU-WfDm,3
std_1660883325895_16,f6q3-8264,3
std_1660882906471_7,Xq3g-73UJ,2
std_1660885385091_50,bqLU-7c8T,4
std_1660884367437_33,YEPr-gZbZ,3
std_1660882559635_3,2s4K-dguV,2
std_1660884093158_29,L8rp-9VHh,3
std_1660882503264_2,6Grc-G9Bo,2
std_1660885280129_48,dp8p-4REB,4
std_1660882669584_6,aJVR-HU63,2
std_1660883494370_18,8ehN-698d,3
std_1660882924596_5,m6af-g7X3,2
std_1660883949285_24,BcBm-8t9M,3
std_1660882494579_1,fq4E-9dAc,2
std_1660883511401_19,2R3G-3B6a,3
std_1660883051166_9,bnWn-2Cqn,2
std_1660885033664_44,jJ97-vzig,4
std_1660883749657_22,zBDU-WfDm,3
std_1660883681535_22,zBDU-WfDm,3
std_1660884912344_42,puCp-yro9,4
std_1660883245280_13,9LPA-VP2Q,2
std_1660883684471_20,D2y8-my69,3
std_1660884761806_39,8ctj-tX86,4
std_1660883480046_18,8ehN-698d,3
std_1660883141056_10,o3nU-Gav9,2
std_1660883112952_12,42Me-82U8,2
std_1660883129843_9,bnWn-2Cqn,2
std_1660885260705_48,dp8p-4REB,4
std_1660884184900_28,zDf9-qZXb,3
std_1660885445984_48,dp8p-4REB,4
std_1660883184775_9,bnWn-2Cqn,2
std_1660884484522_34,Dw47-9u32,3
std_1660883703997_18,8ehN-698d,3
std_1660884975736_44,jJ97-vzig,4
std_1660884797501_37,4gG8-7Myv,4
std_1660884227746_28,zDf9-qZXb,3
std_1660882908111_5,m6af-g7X3,2
std_1660885090944_45,9wWR-ixsu,4
std_1660884092916_26,zV2x-eA7K,3
std_1660883541414_18,8ehN-698d,3
std_1660885214712_48,dp8p-4REB,4
std_1660883014488_8,vj4d-HJcx,2
std_1660883329277_17,MF84-7mhV,3
std_1660882939307_5,m6af-g7X3,2
std_1660884610789_37,4gG8-7Myv,3
std_1660883723847_19,2R3G-3B6a,3
std_1660883996338_23,QBuB-Eh3C,3
std_1660884138148_28,zDf9-qZXb,3
std_1660883443617_18,8ehN-698d,3
std_1660883982208_25,h2s9-37Us,3
std_1660885229616_47,pFtZ-7Fy7,4
std_1660883843514_25,h2s9-37Us,3
std_1660883393473_18,8ehN-698d,3
std_1660883441454_14,A4kF-sLaC,3
std_1660882732651_4,ZNuj-BHy3,2
std_1660883740136_23,QBuB-Eh3C,3
std_1660885532225_49,PuEP-ZVsA,4
std_1660883204910_12,42Me-82U8,2
std_1660882717341_3,2s4K-dguV,2
std_1660885316265_49,PuEP-ZVsA,4
std_1660883217914_10,o3nU-Gav9,2
std_1660883506594_16,f6q3-8264,3
std_1660884284972_30,crUG-BRqV,3
std_1660885475823_50,bqLU-7c8T,4
std_1660883368825_16,f6q3-8264,3
std_1660882737804_3,2s4K-dguV,2
std_1660884164862_28,zDf9-qZXb,3
std_1660882966427_8,vj4d-HJcx,2
std_1660883317567_12,42Me-82U8,3
std_1660885394286_48,dp8p-4REB,4
std_1660885406824_48,dp8p-4REB,4
std_1660883969560_26,zV2x-eA7K,3
std_1660882614597_3,2s4K-dguV,2
std_1660883554573_18,8ehN-698d,3
std_1660884811003_40,pL4j-p8Hk,4
std_1660882634153_2,6Grc-G9Bo,2
std_1660884303661_33,YEPr-gZbZ,3
std_1660883138859_12,42Me-82U8,2
std_1660885306077_47,pFtZ-7Fy7,4
std_1660883960608_27,YCsK-m9VZ,3
std_1660884842539_42,puCp-yro9,4
std_1660884942140_42,puCp-yro9,4
std_1660885459615_48,dp8p-4REB,4
std_1660884344889_31,4w49-HRC8,3
std_1660884752401_37,4gG8-7Myv,4
std_1660882758807_4,ZNuj-BHy3,2
std_1660883536746_20,D2y8-my69,3
std_1660885078013_46,9kZc-F36D,4
std_1660883379679_16,f6q3-8264,3
std_1660883544702_16,f6q3-8264,3
std_1660883448117_16,f6q3-8264,3
std_1660883880456_25,h2s9-37Us,3
std_1660885610719_50,bqLU-7c8T,4
std_1660884065669_27,YCsK-m9VZ,3
std_1660884314906_31,4w49-HRC8,3
std_1660883155352_13,9LPA-VP2Q,2
std_1660884566004_33,YEPr-gZbZ,3
std_1660885214356_47,pFtZ-7Fy7,4
std_1660884085420_25,h2s9-37Us,3
std_1660884373103_31,4w49-HRC8,3
std_1660884811113_37,4gG8-7Myv,4
std_1660882808495_6,aJVR-HU63,2
std_1660884549003_35,YphM-6YU4,3
std_1660885198933_48,dp8p-4REB,4
std_1660884547125_33,YEPr-gZbZ,3
std_1660884962002_44,jJ97-vzig,4
std_1660884012132_24,BcBm-8t9M,3
std_1660884086221_28,zDf9-qZXb,3
std_1660884235695_32,HGHj-CT4w,3
std_1660885027644_45,9wWR-ixsu,4
std_1660884589606_36,jyo4-63Um,3
std_1660882569147_4,ZNuj-BHy3,2
std_1660883697546_22,zBDU-WfDm,3
std_1660883552937_19,2R3G-3B6a,3
std_1660883194080_13,9LPA-VP2Q,2
std_1660884299804_30,crUG-BRqV,3
std_1660884491144_35,YphM-6YU4,3
std_1660883526459_19,2R3G-3B6a,3
std_1660882987258_10,o3nU-Gav9,2
std_1660883857148_22,zBDU-WfDm,3
std_1660883192775_10,o3nU-Gav9,2
